cell_type,region_a,region_b,kf,kn,omega
Astrocyte,Human A13,Human CA1R-CA2R,0.06773374792649545,0.0009768543262865068,69.33863740357685
Astrocyte,Human A13,Human CA1R-CA2R-CA3R,0.049471714532769974,0.0015774182748211384,31.362458088917165
Astrocyte,Human A13,Human CA1U,0.07869545003308501,0.0009771895701859077,80.53242936077737
Astrocyte,Human A13,Human CA1U-CA2U-CA3U,0.06442198031019675,0.0016539135187054062,38.951238732616915
Astrocyte,Human A13,Human CA2U-CA3U,0.06652188615429483,0.0009868837760271681,67.40599832544368
Astrocyte,Human A13,Human CA3R,0.14568684488619527,0.0018313577238217255,79.55127662452102
Astrocyte,Human A13,Human CA4C-DGC,0.0746518005784754,0.0006712830485536925,111.20763549640623
Astrocyte,Human A13,Human CBL,0.3295874183414562,0.003008170556325933,109.5640729706503
Astrocyte,Human A13,Human CBV,0.34174519327719743,0.003212818232300398,106.36928969134544
Astrocyte,Human A13,Human CEN,0.1406317542303745,0.00250108126112854,56.22838266635068
Astrocyte,Human A13,Human CM,0.2331640425497618,0.0024773916593002,94.11674640723731
Astrocyte,Human A13,Human CM-Pf,0.21692926347558328,0.0014872994613549851,145.85446247519826
Astrocyte,Human A13,Human CMN,0.08741337996113431,0.0010915899234586236,80.0789546354288
Astrocyte,Human A13,Human CaB,0.08475955906314371,0.0008479439055869193,99.95892240592954
Astrocyte,Human A13,Human CbDN,0.2532720129105398,0.002063957991461137,122.71180613091889
Astrocyte,Human A13,Human Cla,0.0650770509516102,0.0009984791284518664,65.17617554260912
Astrocyte,Human A13,Human CoA,0.06309197214439238,0.0016737135067610887,37.69580151532967
Astrocyte,Human A13,Human DGR-CA4Rpy,0.07862184800196009,0.0013330551814067127,58.978689778613685
Astrocyte,Human A13,Human DGU-CA4Upy,0.08463903291999077,0.0009565723291584276,88.48158193584214
Astrocyte,Human A13,Human DTg,0.2170913636621491,0.0013058885628119822,166.24034381209697
Astrocyte,Human A13,Human ETH,0.22810219041863955,0.001857936802446556,122.7717703413117
Astrocyte,Human A13,Human FI,0.029173344514740067,0.0008224155829676535,35.47275260698397
Astrocyte,Human A13,Human GPe,0.14018411912713383,0.0012630823623736738,110.98573086215052
Astrocyte,Human A13,Human GPi,0.20760673391265844,0.001753740627936108,118.37938324835451
Astrocyte,Human A13,Human Gpe,0.16997437329470894,0.002553798621882276,66.55746926882959
Astrocyte,Human A13,Human HTHma,0.25442214500084437,0.003377680565098148,75.32451340420091
Astrocyte,Human A13,Human HTHma-HTHtub,0.19590437697932098,0.0027462185018101003,71.33604877040759
Astrocyte,Human A13,Human HTHpo,0.11608898116967531,0.0013650056670494847,85.04651956545086
Astrocyte,Human A13,Human HTHpo-HTHso,0.18653074691664517,0.0014992469300183402,124.41629406195506
Astrocyte,Human A13,Human HTHso,0.13843727946197648,0.0032207502728189953,42.98292873877732
Astrocyte,Human A13,Human HTHso-HTHtub,0.17472348351194164,0.0013418489049761718,130.21099682981395
Astrocyte,Human A13,Human HTHtub,0.19094525652031963,0.003218690371978061,59.32389712992907
Astrocyte,Human A13,Human IC,0.2026929684978584,0.0013578837938602933,149.27121850510323
Astrocyte,Human A13,Human IO,0.30945937168100557,0.0031440348563504727,98.427462105245
Astrocyte,Human A13,Human ITG,0.011754364529284043,0.0005315568353942777,22.11309073011044
Astrocyte,Human A13,Human Idg,0.008999249159499484,0.0004121241916126334,21.83625553327896
Astrocyte,Human A13,Human Ig,0.012255366017733966,0.000550782737403681,22.250817219697527
Astrocyte,Human A13,Human LEC,0.03401485546831378,0.0006314022767980269,53.87192399877022
Astrocyte,Human A13,Human LG,0.20057326292555466,0.001293919985496148,155.01210675608021
Astrocyte,Human A13,Human LP,0.18935401713425282,0.001213638048746658,156.02181995678328
Astrocyte,Human A13,Human LP-VPL,0.21885002411794804,0.0025289154407719837,86.539083351534
Astrocyte,Human A13,Human La,0.10769690152278874,0.002391817513788361,45.02722339891615
Astrocyte,Human A13,Human M1C,0.02252712834765424,0.0006673542491491319,33.75587759630817
Astrocyte,Human A13,Human MD,0.19238927964266572,0.0011867225746442385,162.1181595035732
Astrocyte,Human A13,Human MD-Re,0.22380839030148297,0.0020853253833038625,107.32540451164249
Astrocyte,Human A13,Human MEC,0.03451121237521792,0.0008135363090568382,42.4212318381069
Astrocyte,Human A13,Human MG,0.1879675829735433,0.0020640127449445714,91.06900305433489
Astrocyte,Human A13,Human MN,0.3086438709990499,0.005161871488113552,59.793017263172175
Astrocyte,Human A13,Human MTG,0.012243973292807587,0.0004684013792935025,26.139917246348364
Astrocyte,Human A13,Human MoAN,0.2736059549472467,0.001786989268365837,153.11001570672747
Astrocyte,Human A13,Human MoRF-MoEN,0.23984584788605817,0.001535847050351986,156.16519094859754
Astrocyte,Human A13,Human MoSR,0.30594557762262964,0.00354324653674478,86.34611632294298
Astrocyte,Human A13,Human NAC,0.08210979530629509,0.0009434421955486488,87.0321421849751
Astrocyte,Human A13,Human PAG,0.21612947183226552,0.0014632295238078204,147.70715620186724
Astrocyte,Human A13,Human PAG-DR,0.20917084441275985,0.0016371785207067715,127.76300309782991
Astrocyte,Human A13,Human PB,0.22676209392290403,0.001449181765482729,156.47595030797848
Astrocyte,Human A13,Human PN,0.24623330086810294,0.002136785118296308,115.23540610598626
Astrocyte,Human A13,Human PTR,0.1903930103496589,0.0014458319241687876,131.68405481094652
Astrocyte,Human A13,Human Pir,0.05721149243905052,0.001024078555626141,55.866312329985604
