cell_type,comparison,donor,n_cells_a,n_cells_b,k_n,k_f,omega,raw_js,perm_P,null_mean,null_sd
CD14+ Monocytes,split_half,1488|stim,174,174,,,7.443220190917503,,,,
CD14+ Monocytes,split_half,1488|stim,174,174,,,6.9477458081984755,,,,
CD14+ Monocytes,split_half,1488|stim,174,174,,,6.621587905316693,,,,
CD14+ Monocytes,split_half,1488|stim,174,174,,,7.171253560731838,,,,
CD4 T cells,stim_vs_ctrl,101,293,382,0.0036583715503464144,0.11475183812200522,31.366917368231576,0.0071314860047015614,0.007992007992007992,19.582612024110745,5.162021770837962
CD4 T cells,stim_vs_ctrl,1015,848,734,0.0023487882258759188,0.09984344095476361,42.50849006088219,0.0074588114408003486,0.4985014985014985,52.242343122160875,40.3309427350239
CD4 T cells,stim_vs_ctrl,1016,422,353,0.003395189988950386,0.0880272697549942,25.927052695571714,0.006084105305768993,0.25574425574425574,24.536198905019425,21.44733416859398
CD4 T cells,stim_vs_ctrl,1039,189,281,0.005110279191223971,0.10419145835800726,20.38860392147228,0.007144847547751503,0.0969030969030969,10.957346324807295,8.89188255903556
CD4 T cells,stim_vs_ctrl,107,158,186,0.0059158047152029925,0.13139919459637928,22.211550401367585,0.009981320565186748,1.0,53.214852071276894,6.415845914665499
CD4 T cells,stim_vs_ctrl,1244,1068,854,0.0027714832343377184,0.09797934675118493,35.35267525246219,0.0063283362302497224,0.26973026973026976,31.424392100441736,33.97966011599814
CD4 T cells,stim_vs_ctrl,1256,1001,954,0.0024252795136248655,0.08620031327778382,35.54242420039549,0.005679878054865483,0.34165834165834164,32.58949923511915,35.55669959485272
CD4 T cells,stim_vs_ctrl,1488,1182,1484,0.002323211425409896,0.09925529523115907,42.723315728204525,0.006272933581169576,0.3276723276723277,44.91894466205145,37.613570777945135
CD4 T cells,donor_vs_donor_ctrl,101|1015,293,848,0.002108906974282686,0.034275981426368965,16.252960345976113,0.0017028717034289357,,,
CD4 T cells,donor_vs_donor_ctrl,101|1016,293,422,0.003004443719340239,0.021639394365035668,7.202462880478777,0.0016279220904978488,,,
CD4 T cells,donor_vs_donor_ctrl,101|1039,293,189,0.0030133069100161487,0.17406509938119114,57.76547314268041,0.007645617470667492,,,
CD4 T cells,donor_vs_donor_ctrl,101|107,293,158,0.00353046009136473,0.059121315061298224,16.746065252487917,0.002214728742845797,,,
CD4 T cells,donor_vs_donor_ctrl,101|1244,293,1068,0.0022778257541224024,0.02664789062059967,11.698827521100943,0.0022773825043504617,,,
CD4 T cells,donor_vs_donor_ctrl,101|1256,293,1001,0.0023463761349871285,0.04695844175686002,20.013177366005568,0.0027540626339201723,,,
CD4 T cells,donor_vs_donor_ctrl,101|1488,293,1182,0.0025962253602928734,0.03639245430942994,14.017448125275457,0.002712841124791059,,,
CD4 T cells,donor_vs_donor_ctrl,1015|1016,848,422,0.002492477823127109,0.04748217709148059,19.050190397244364,0.00212765664493023,,,
CD4 T cells,donor_vs_donor_ctrl,1015|1039,848,189,0.0026606328174489744,0.20212920424494787,75.97034920389736,0.009975671182848499,,,
CD4 T cells,donor_vs_donor_ctrl,1015|107,848,158,0.0033340530779781183,0.022074579042895868,6.6209440961517725,0.0022321161484855296,,,
CD4 T cells,donor_vs_donor_ctrl,1015|1244,848,1068,0.002395701889910748,0.02381130383070664,9.93917646055442,0.002566940180054657,,,
CD4 T cells,donor_vs_donor_ctrl,1015|1256,848,1001,0.001918426823624643,0.043249836271323144,22.54442845498148,0.0029354009111945355,,,
CD4 T cells,donor_vs_donor_ctrl,1015|1488,848,1182,0.002506017554992668,0.040168682092171525,16.028890943778347,0.0038214409890591676,,,
CD4 T cells,donor_vs_donor_ctrl,1016|1039,422,189,0.003666017164311113,0.14243669785265242,38.85325449080867,0.007423539476687703,,,
CD4 T cells,donor_vs_donor_ctrl,1016|107,422,158,0.004311414976126479,0.05916570011022382,13.723035346363316,0.003343371188231352,,,
CD4 T cells,donor_vs_donor_ctrl,1016|1244,422,1068,0.0034441675220812495,0.030990858754938077,8.998069506273856,0.002966604042239514,,,
CD4 T cells,donor_vs_donor_ctrl,1016|1256,422,1001,0.002763050836561495,0.028651697140358326,10.369587399996666,0.002468860588025079,,,
CD4 T cells,donor_vs_donor_ctrl,1016|1488,422,1182,0.003699146905359509,0.03113236265655194,8.416092535131767,0.0031078290986167527,,,
CD4 T cells,donor_vs_donor_ctrl,1039|107,189,158,0.0037890586692397215,0.32078458625948275,84.66075990421349,0.01033615153397486,,,
CD4 T cells,donor_vs_donor_ctrl,1039|1244,189,1068,0.0026710308804181976,0.22277722474811001,83.4049603774069,0.008611855240467207,,,
CD4 T cells,donor_vs_donor_ctrl,1039|1256,189,1001,0.002510252342909127,0.15055775696257512,59.97714030139854,0.007790068705389752,,,
CD4 T cells,donor_vs_donor_ctrl,1039|1488,189,1182,0.0029950510611862005,0.13060349401864146,43.606433196139065,0.007141943175229402,,,
CD4 T cells,donor_vs_donor_ctrl,107|1244,158,1068,0.0025990616633699776,0.03954432114641965,15.214845305034418,0.001963016429537174,,,
CD4 T cells,donor_vs_donor_ctrl,107|1256,158,1001,0.0029380940265712387,0.05468698159133187,18.61308082612716,0.002857948764021071,,,
CD4 T cells,donor_vs_donor_ctrl,107|1488,158,1182,0.0028106597603955387,0.05716158285732443,20.337425277430302,0.0029427669761156044,,,
CD4 T cells,donor_vs_donor_ctrl,1244|1256,1068,1001,0.0011756155981849674,0.018417783237137206,15.666501248854146,0.0010332079731543787,,,
CD4 T cells,donor_vs_donor_ctrl,1244|1488,1068,1182,0.0009186331487264933,0.02721731269759771,29.628054175194126,0.0011921339018062713,,,
CD4 T cells,donor_vs_donor_ctrl,1256|1488,1001,1182,0.0013329535828973645,0.01708599009445322,12.818143342481878,0.0010512575802592587,,,
