sample,nonparenchymal_frac,sse,frac_endothelial,frac_epithelial,frac_immune,kn_pt,admix
TCGA-AK-3444-01,0.31176882261107564,8.987090154414181,0.2645261939400725,0.6882311773889244,0.047242628671003206,0.0013309933596229,24922.64090380153
TCGA-AK-3445-01,0.5721533257872161,11.483261632162437,0.22357497910571286,0.4278466742127839,0.3485783466815033,0.0018966642582985375,28454.325417518536
TCGA-AK-3447-01,0.5286736219724117,12.0659123750003,0.3825218660973122,0.47132637802758826,0.14615175587509946,0.02332829935461995,-5427.797452324303
TCGA-AK-3450-01,0.2699306034217732,8.421370030929308,0.24753270273091213,0.7300693965782268,0.022397900690861044,0.0028547692888228502,22827.37184724076
TCGA-AK-3451-01,0.2761546530825192,9.342165922046124,0.09628735680715128,0.7238453469174808,0.17986729627536793,0.010668809948685317,22273.990457121065
TCGA-AK-3453-01,0.40362688644000244,10.128662948520946,0.09747872401977177,0.5963731135599976,0.3061481624202306,0.0020179163163706712,23410.896284862392
TCGA-AK-3454-01,0.37679626123389154,9.635873337951303,0.3011731256510424,0.6232037387661085,0.07562313558284915,0.0019778193248711335,26943.722634577527
TCGA-AK-3455-01,0.33988210208264613,9.089596145486448,0.005857714541942108,0.6601178979173539,0.33402438754070396,0.0020596874334181145,25256.30957088
TCGA-AK-3456-01,0.2701389301729399,7.267224789620792,0.009919682282223067,0.7298610698270601,0.2602192478907169,0.0039062300933316,19541.53422814825
TCGA-AK-3458-01,0.33708515203596134,9.2863605016801,0.09846074857918259,0.6629148479640387,0.23862440345677877,0.007434121148803267,21409.215094690066
TCGA-AK-3460-01,0.45184340980553117,10.08440521116354,0.3793014712932992,0.5481565901944688,0.07254193851223205,0.0022743671566459,26034.08841304259
TCGA-AK-3461-01,0.4843606801785916,9.923473447723952,0.3873079572864583,0.5156393198214084,0.09705272289213322,0.00142180369995994,28344.01196588652
TCGA-AK-3465-01,0.38283458059843545,8.867394005290683,0.3305992620166451,0.6171654194015646,0.05223531858179038,0.0030530790469079,12991.134133591857
TCGA-AL-3466-01,0.3449849760798923,8.258805346301376,0.0640692801156142,0.6550150239201077,0.2809156959642781,,16728.747524578324
TCGA-AL-3467-01,0.3315843501226322,7.299869860395675,0.25598962342998377,0.6684156498773678,0.07559472669264847,0.002306198810691325,-7129.243360297856
TCGA-AL-3468-01,0.21540059735632489,6.542915608670793,0.06109461635868258,0.7845994026436751,0.15430598099764226,0.00282619094914148,7313.399096930148
TCGA-AL-3471-01,0.2009148567197505,5.236110885139059,0.10673953539944223,0.7990851432802495,0.09417532132030836,0.00318871833817608,2513.799971013956
TCGA-AL-3472-01,0.39444174976770197,8.762147848473537,0.12812756153265134,0.605558250232298,0.26631418823505065,0.0033502131555431,12402.21354267068
TCGA-AL-3473-01,0.38353383014874065,8.721257827745251,0.0,0.6164661698512593,0.3835338301487406,0.0032400568925902,24662.71492232163
TCGA-AL-7173-01,0.36783448686550824,8.945441739595603,0.04298289202570793,0.6321655131344918,0.3248515948398002,0.00438800578650635,20526.65056769013
TCGA-AL-A5DJ-01,0.5070895415372088,10.622652128055499,0.050231784777240704,0.4929104584627913,0.45685775675996804,0.008180679888489719,6927.191745451932
TCGA-AY-5543-01,0.6029041760644189,12.292919669571909,0.14208354187393127,0.397095823935581,0.4608206341904878,0.00372320942631465,13372.962668516517
TCGA-AY-6196-01,0.8859263360522935,10.94521304937314,0.24841362249075763,0.11407366394770642,0.637512713561536,0.00284007197642598,34351.85143389424
TCGA-AY-6197-01,0.5705250134683851,12.602429877732218,0.18007717866112039,0.42947498653161487,0.39044783480726475,0.0031022717348167,16854.907952446007
TCGA-AY-6386-01,0.6266185184417543,12.532244301349296,0.1626932253724214,0.37338148155824574,0.46392529306933283,0.00231922027347392,18226.640712437395
