cell_type,region_a,region_b,pair_idx,omega,mu_ct,mu_pair,expected_omega,residual,lowest_in_pair,tier
Oligodendrocyte precursor,Human BM,Human CM-Pf,1944,10.283759611322257,22.558656731201385,16.18576383533198,11.212364041226312,0.9171803175057726,False,None
Oligodendrocyte precursor,Human BM,Human CMN,1945,10.30099702454062,22.558656731201385,25.642235498389223,17.763145574334224,0.5799083828612214,False,Weak
Oligodendrocyte precursor,Human BM,Human CaB,1946,12.68233102528579,22.558656731201385,21.589863758851934,14.955946134361815,0.8479791857599491,False,None
Oligodendrocyte precursor,Human BM,Human CbDN,1947,16.954783802241376,22.558656731201385,30.371314956431807,21.03912074627588,0.8058694090266357,False,None
Oligodendrocyte precursor,Human BM,Human Cla,1948,13.289446996149856,22.558656731201385,32.01185565150293,22.175572487739622,0.5992831528249065,False,Weak
Oligodendrocyte precursor,Human BM,Human CoA,1949,17.236105475897038,22.558656731201385,22.8852930618575,15.853328864194076,1.087223107749065,False,None
Oligodendrocyte precursor,Human BM,Human DGR-CA4Rpy,1950,13.797280572611136,22.558656731201385,29.973654703113457,20.76364956244465,0.6644920745323292,False,Weak
Oligodendrocyte precursor,Human BM,Human DGU-CA4Upy,1951,11.77914846194524,22.558656731201385,29.316871957024908,20.308676456444793,0.5800057176156954,False,Weak
Oligodendrocyte precursor,Human BM,Human DTg,1952,13.249331984475853,22.558656731201385,31.767527499145448,22.00631904887675,0.6020694308325102,False,Weak
Oligodendrocyte precursor,Human BM,Human ETH,1953,12.393413123006274,22.558656731201385,24.284961005685073,16.822920826778617,0.7366980591906799,False,Weak
Oligodendrocyte precursor,Human BM,Human FI,1954,10.887969119319196,22.558656731201385,23.384797836232508,16.19935080221331,0.6721237938641084,False,Weak
Oligodendrocyte precursor,Human BM,Human GPe,1955,12.15892088977494,22.558656731201385,33.77531407408528,23.397173025515816,0.5196747862023764,False,Weak
Oligodendrocyte precursor,Human BM,Human GPi,1956,12.231508916839,22.558656731201385,39.088694218272835,27.077910806701446,0.45171538543556516,False,Moderate
Oligodendrocyte precursor,Human BM,Human Gpe,1957,11.59201566157752,22.558656731201385,27.90388433747976,19.329857555015973,0.5996948310966455,False,Weak
Oligodendrocyte precursor,Human BM,Human HTHma,1958,11.70381957121967,22.558656731201385,20.513077242391983,14.210023820156415,0.8236312422374843,False,None
Oligodendrocyte precursor,Human BM,Human HTHma-HTHtub,1959,12.182038865732526,22.558656731201385,21.780968324285805,15.088329998316851,0.8073815238062443,False,None
Oligodendrocyte precursor,Human BM,Human HTHpo,1960,18.950707891586777,22.558656731201385,27.05936113668287,18.744831005454795,1.0109831284193531,False,None
Oligodendrocyte precursor,Human BM,Human HTHpo-HTHso,1961,10.45874383986921,22.558656731201385,30.244439409770745,20.9512302499381,0.49919473534973496,False,Moderate
Oligodendrocyte precursor,Human BM,Human HTHso,1962,12.289700189650535,22.558656731201385,37.16434973815044,25.74485967168134,0.47736520402047006,False,Moderate
Oligodendrocyte precursor,Human BM,Human HTHso-HTHtub,1963,12.829472252201548,22.558656731201385,29.06069874972412,20.131217592773808,0.6372924137885602,False,Weak
Oligodendrocyte precursor,Human BM,Human HTHtub,1964,13.503380926103178,22.558656731201385,21.654093357504426,15.00043990367912,0.9001989950168887,False,None
Oligodendrocyte precursor,Human BM,Human IC,1965,15.307088681999296,22.558656731201385,29.763475440574677,20.61805208372962,0.7424119708223369,False,Weak
Oligodendrocyte precursor,Human BM,Human IO,1966,9.989003197303266,22.558656731201385,37.39675918776537,25.90585666769677,0.38558860745026136,True,Moderate
Oligodendrocyte precursor,Human BM,Human ITG,1967,14.994784663038056,22.558656731201385,29.042884173696155,20.11887690167651,0.7453092305459922,False,Weak
Oligodendrocyte precursor,Human BM,Human Idg,1968,11.814565433940704,22.558656731201385,32.66505269396185,22.62806166929523,0.5221200828691518,False,Weak
Oligodendrocyte precursor,Human BM,Human Ig,1969,28.241530165014066,22.558656731201385,33.52394606938771,23.22304286980247,1.2160994716905624,False,None
Oligodendrocyte precursor,Human BM,Human LEC,1970,13.770692709022818,22.558656731201385,39.759339139951436,27.542486657477532,0.49998000835135925,False,Moderate
Oligodendrocyte precursor,Human BM,Human LG,1971,18.45933069244136,22.558656731201385,39.100527168471224,27.08610784618972,0.681505471264602,False,Weak
Oligodendrocyte precursor,Human BM,Human LP,1972,22.00565337849642,22.558656731201385,46.113064347934504,31.943902665680486,0.6888843109999391,False,Weak
Oligodendrocyte precursor,Human BM,Human LP-VPL,1973,16.740130491330525,22.558656731201385,45.51362674490815,31.528654260136594,0.530949730781754,False,Weak
Oligodendrocyte precursor,Human BM,Human La,1974,10.535830634006176,22.558656731201385,28.667038591620326,19.858517394865856,0.5305446738299844,True,Weak
Oligodendrocyte precursor,Human BM,Human M1C,1975,14.484670756455326,22.558656731201385,29.355975745785596,20.335764823693733,0.7122756818852889,False,Weak
