pair,omega,kn,kf,same_tissue,same_ct
Live|hepatocyte vs Marr|Fraction A pre-p..,11.563736581784502,0.017816166433846474,0.2060214555382316,False,False
Live|hepatocyte vs Kidn|leukocyte,11.543701973864943,0.02009478932907309,0.2319682592424212,False,False
Lung|leukocyte vs Marr|neutrophil,11.516781443362255,0.018786511981150625,0.2163601525700182,False,False
Live|liver sinusoid EC vs Hear|fibroblast,11.512485187409233,0.012003403000788528,0.13818899924508146,False,False
Live|B cell vs Marr|neutrophil,11.469433984033289,0.017416872010336974,0.19976166373091708,False,False
Marr|Fraction A pre-p.. vs Marr|neutrophil,11.291022195725724,0.016930349028436355,0.19116094666145833,True,False
Kidn|kidney tubule cell vs Marr|neutrophil,11.017542008958587,0.019643040919724547,0.21641802851675773,False,False
Live|liver sinusoid EC vs Marr|neutrophil,10.98682463509436,0.02371440905059463,0.26054605356377775,False,False
Kidn|kidney tubule cell vs Hear|cardiac muscle,10.952835137407948,0.016810802864920534,0.18412595230693984,False,False
Hear|endothelial cell vs Hear|smooth muscle cell,10.940426065224479,0.008770554471058147,0.09595360274163564,True,False
Hear|endothelial cell vs Marr|neutrophil,10.764946527294365,0.021479219338641515,0.23122264762850292,False,False
Kidn|fenestrated cell vs Marr|neutrophil,10.64172931969627,0.022849792872182487,0.2431613107568912,False,False
Marr|B cell vs Marr|neutrophil,10.624991817591944,0.017290504228512686,0.1837114659499862,True,False
Live|liver sinusoid EC vs Hear|leukocyte,10.547221348351817,0.012429562023912617,0.13109734192927416,False,False
Hear|smooth muscle cell vs Marr|neutrophil,10.529875896659174,0.020815973908595985,0.21918962192561112,False,False
Live|hepatocyte vs Marr|B cell,10.483373802763797,0.018462487457399847,0.19354915734476075,False,False
Lung|macrophage vs Marr|neutrophil,10.469255334161437,0.01909501206357024,0.19991055690240972,False,False
Live|hepatocyte vs Live|B cell,10.423757313256885,0.018603161463686714,0.19391484035680306,True,False
Live|hepatocyte vs Kidn|kidney collectin..,10.389838145650286,0.0222170719031251,0.23083178114374436,False,False
Live|hepatocyte vs Lung|macrophage,10.38101194268877,0.02000379428788252,0.20765962740159788,False,False
Live|hepatocyte vs Sple|myeloid cell,10.300699927073591,0.01933160635860357,0.19912907620828318,False,False
Marr|T cell vs Marr|neutrophil,10.237642754944455,0.0182143328249681,0.18647183248168164,True,False
Live|hepatocyte vs Marr|T cell,10.200059173721305,0.019568799946924138,0.19960291741734054,False,False
Live|Kupffer cell vs Kidn|fenestrated cell,10.161523446527275,0.0130960259039802,0.13307557427962335,False,False
Hear|fibroblast vs Hear|endothelial cell,9.943691143434823,0.01001859722509486,0.09962183649681644,True,False
Kidn|fenestrated cell vs Lung|stromal cell,9.905444348872155,0.011743708212524809,0.1163266481485574,False,False
Hear|endothelial cell vs Hear|endocardial cell,9.851566167946029,0.008050083036468737,0.07930592569123165,True,False
Live|liver sinusoid EC vs Hear|smooth muscle cell,9.76944259822702,0.014019629638982106,0.13696396700643787,False,False
Live|liver sinusoid EC vs Hear|endothelial cell,9.76017094343034,0.011737254714921184,0.1145576124242145,False,False
Kidn|fenestrated cell vs Hear|leukocyte,9.666189812491913,0.012027778030793744,0.11626278546817254,False,False
Lung|stromal cell vs Marr|neutrophil,9.60279725155774,0.02275720099673899,0.21853278718463226,False,False
Hear|smooth muscle cell vs Hear|leukocyte,9.50735008400826,0.009277236693451825,0.08820193705685372,True,False
Live|hepatocyte vs Marr|granulocyte,9.44326321786944,0.029431594127957178,0.2779302902718002,False,False
Kidn|fenestrated cell vs Hear|fibroblast,9.426390797580478,0.012278914126653252,0.11574584312776515,False,False
Hear|fibroblast vs Hear|leukocyte,9.310243551607071,0.008971925467061007,0.08353081122520399,True,False
Live|hepatocyte vs Marr|NK cell,9.112690722371669,0.023204889827111393,0.2114589842411747,False,False
Hear|cardiac muscle vs Marr|neutrophil,9.047723103743287,0.034046211818622635,0.3080406972662898,False,False
Kidn|fenestrated cell vs Kidn|leukocyte,9.018962133369968,0.014742116464809886,0.1329585901618503,True,False
Live|NK cell vs Marr|neutrophil,8.98958464381826,0.022172120537729646,0.1993181543068619,False,False
Live|NK cell vs Live|hepatocyte,8.946978708101339,0.02222956605496723,0.1988874541841241,True,False
Marr|NK cell vs Marr|neutrophil,8.587072117876103,0.022914655913696732,0.19676980288722995,True,False
Live|hepatocyte vs Hear|endocardial cell,8.50211518134155,0.025836973514021117,0.21966892475347846,False,False
Hear|endocardial cell vs Hear|leukocyte,8.383704529705515,0.010103534257673633,0.08470504592209328,True,False
Lung|macrophage vs Hear|endothelial cell,8.333575705963588,0.010682249257492641,0.08902133289728825,False,False
Live|Kupffer cell vs Hear|smooth muscle cell,8.274180094155192,0.012639384638704091,0.10458054477993631,False,False
Live|hepatocyte vs Lung|B cell,8.269687472598813,0.024773262669048106,0.20486713994962696,False,False
Kidn|leukocyte vs Lung|stromal cell,8.26154070831753,0.012756981902229337,0.10539232530053766,False,False
