section,cancer,metric,n,test,comparison,stat,se,p,extra
B_hallmark,TCGA-LUAD,kf_panel,300,hypergeometric (BH),Interferon Alpha Response,1.0,,0.8862613667855826,"q=1, set_size=93"
B_hallmark,TCGA-LUAD,kf_panel,300,hypergeometric (BH),Glycolysis,2.0,,0.8928193463929917,"q=1, set_size=163"
B_hallmark,TCGA-LUAD,kf_panel,300,hypergeometric (BH),IL-2/STAT5 Signaling,2.0,,0.9059911674890416,"q=1, set_size=170"
B_hallmark,TCGA-LUAD,kf_panel,300,hypergeometric (BH),p53 Pathway,2.0,,0.920712602463411,"q=1, set_size=179"
B_hallmark,TCGA-LUAD,kf_panel,300,hypergeometric (BH),Interferon Gamma Response,2.0,,0.9319544899264118,"q=1, set_size=187"
B_hallmark,TCGA-LUAD,kf_panel,300,hypergeometric (BH),TNF-alpha Signaling via NF-kB,2.0,,0.9332490562858093,"q=1, set_size=188"
B_hallmark,TCGA-LUAD,kf_panel,300,hypergeometric (BH),UV Response Dn,1.0,,0.9476090456789875,"q=1, set_size=126"
B_hallmark,TCGA-LUAD,kf_panel,300,hypergeometric (BH),Apoptosis,1.0,,0.9576073044098535,"q=1, set_size=135"
B_hallmark,TCGA-LUAD,kf_panel,300,hypergeometric (BH),mTORC1 Signaling,1.0,,0.979094025642935,"q=1, set_size=165"
B_hallmark,TCGA-LUAD,kf_panel,300,hypergeometric (BH),Adipogenesis,1.0,,0.9818540641289442,"q=1, set_size=171"
B_hallmark,TCGA-LUAD,kf_panel,300,hypergeometric (BH),Myc Targets V2,0.0,,1.0,"q=1, set_size=49"
B_hallmark,TCGA-LUAD,kf_panel,300,hypergeometric (BH),Myc Targets V1,0.0,,1.0,"q=1, set_size=120"
B_hallmark,TCGA-LUAD,kf_panel,300,hypergeometric (BH),Apical Surface,0.0,,1.0,"q=1, set_size=30"
B_hallmark,TCGA-LUAD,kf_panel,300,hypergeometric (BH),PI3K/AKT/mTOR  Signaling,0.0,,1.0,"q=1, set_size=73"
B_hallmark,TCGA-LUAD,kf_panel,300,hypergeometric (BH),E2F Targets,0.0,,1.0,"q=1, set_size=161"
B_hallmark,TCGA-LUAD,kf_panel,300,hypergeometric (BH),G2-M Checkpoint,0.0,,1.0,"q=1, set_size=156"
B_hallmark,TCGA-LUAD,kf_panel,300,hypergeometric (BH),DNA Repair,0.0,,1.0,"q=1, set_size=117"
B_hallmark,TCGA-LUAD,kf_panel,300,hypergeometric (BH),TGF-beta Signaling,0.0,,1.0,"q=1, set_size=51"
B_hallmark,TCGA-LUAD,kf_panel,300,hypergeometric (BH),Cholesterol Homeostasis,0.0,,1.0,"q=1, set_size=66"
B_hallmark,TCGA-LUAD,kf_panel,300,hypergeometric (BH),Mitotic Spindle,0.0,,1.0,"q=1, set_size=179"
B_hallmark,TCGA-LUAD,kf_panel,300,hypergeometric (BH),Notch Signaling,0.0,,1.0,"q=1, set_size=28"
B_hallmark,TCGA-LUAD,kf_panel,300,hypergeometric (BH),Protein Secretion,0.0,,1.0,"q=1, set_size=67"
B_hallmark,TCGA-LUAD,kf_panel,300,hypergeometric (BH),Unfolded Protein Response,0.0,,1.0,"q=1, set_size=77"
B_hallmark,TCGA-LUAD,kf_panel,300,hypergeometric (BH),Angiogenesis,0.0,,1.0,"q=1, set_size=27"
B_hallmark,TCGA-LUAD,kf_panel,300,hypergeometric (BH),Reactive Oxygen Species Pathway,0.0,,1.0,"q=1, set_size=41"
B_hallmark,TCGA-LUAD,kf_panel,300,hypergeometric (BH),Oxidative Phosphorylation,0.0,,1.0,"q=1, set_size=166"
