pair_type,cancer,sample_a,sample_b,omega,kn,kf
TT,TCGA-LUAD,TCGA-50-6594-01,TCGA-75-7031-01,108.91131295318455,0.005736332451005301,0.6247514987749465
TT,TCGA-LUAD,TCGA-55-6983-01,TCGA-78-7156-01,93.9945622701727,0.0031489591457519745,0.2959850365116138
TT,TCGA-LUAD,TCGA-05-4434-01,TCGA-55-8619-01,157.27300979972813,0.0025662882666613604,0.4036078797115594
TT,TCGA-LUAD,TCGA-55-8203-01,TCGA-55-A493-01,136.27695679768954,0.004014759975645469,0.5471192717541307
TT,TCGA-LUAD,TCGA-78-7156-01,TCGA-TQ-A7RU-01,97.88251309808155,0.007122449414053735,0.697163248061538
TT,TCGA-LUAD,TCGA-05-4244-01,TCGA-78-7152-01,145.63140733540476,0.0035451919310155768,0.5162912901879196
TT,TCGA-LUAD,TCGA-55-7284-01,TCGA-78-7146-01,103.11932708796526,0.004388466556626192,0.4525357182673329
TT,TCGA-LUAD,TCGA-49-AARO-01,TCGA-97-7553-01,127.40508352325317,0.003822474897062577,0.4870027335257962
TT,TCGA-LUAD,TCGA-55-7726-01,TCGA-86-6851-01,120.63687247407114,0.004493181285297011,0.5420433377172585
TT,TCGA-LUAD,TCGA-86-7701-01,TCGA-97-7553-01,168.82821196995357,0.0026234721933589607,0.4429161195576857
TT,TCGA-LUAD,TCGA-97-A4M3-01,TCGA-KN-8427-01,70.55266050113545,0.006050149767511249,0.4268541625282447
TT,TCGA-LUAD,TCGA-78-7154-01,TCGA-86-8674-01,83.12218938507138,0.006876259273797576,0.5715697256174554
TT,TCGA-LUAD,TCGA-55-7725-01,TCGA-KN-8435-01,46.55002878742667,0.01302303772607268,0.6062227810484269
TT,TCGA-LUAD,TCGA-50-5072-01,TCGA-55-A48Y-01,110.93456045024176,0.0027171465604154017,0.30142545935856885
TT,TCGA-LUAD,TCGA-05-4425-01,TCGA-78-7163-01,116.22668678738071,0.004186446439999859,0.4865767991340087
