cell_type,region_a,region_b,omega,kn,kf
Astrocyte,Human A1C,Human LG,28.75765137433217,0.004331017755305259,0.12454989870311131
Astrocyte,Human A1C,Human LP,22.083370612043378,0.006121160266458687,0.1351758507399214
Astrocyte,Human A1C,Human LP-VPL,16.036503492938213,0.008180124497905603,0.13118059508333263
Astrocyte,Human A1C,Human La,4.749398595452166,0.011958942762216708,0.056797785957964884
Astrocyte,Human A1C,Human M1C,7.6277222217343486,0.002413583728463331,0.01841014623961619
Astrocyte,Human A1C,Human MD,34.086426870620166,0.003751084808452346,0.12786107800880514
Astrocyte,Human A1C,Human MD-Re,14.910428714120366,0.008884843625283311,0.13247682751089357
Astrocyte,Human A1C,Human MEC,5.875196264347037,0.004121827833426424,0.024216547489228565
Astrocyte,Human A1C,Human MG,16.36743618075589,0.006580288937913888,0.10770245924223953
Astrocyte,Human A1C,Human MN,6.312865534945069,0.02687296056568755,0.16964538657706688
Astrocyte,Human A1C,Human MTG,6.113438866568792,0.0027926659331141703,0.017072792456842772
Astrocyte,Human A1C,Human MoAN,24.066304964645276,0.006492502699648068,0.15625054995351315
Astrocyte,Human A1C,Human MoRF-MoEN,34.28926611820535,0.004311657209298554,0.14784356146011673
Astrocyte,Human A1C,Human MoSR,9.650009114634459,0.016841609703005918,0.16252168713912324
Astrocyte,Human A1C,Human NAC,10.974470559371241,0.0055644372241303655,0.06106675249568813
Astrocyte,Human A1C,Human PAG,29.727772492327077,0.004568174203518628,0.13580164342751921
Astrocyte,Human A1C,Human PAG-DR,18.866215308550384,0.006928074360171745,0.13070654255264758
Astrocyte,Human A1C,Human PB,25.815376061557433,0.005523765289801891,0.1425980782320136
Astrocyte,Human A1C,Human PN,24.417613136739448,0.006384934244882509,0.15590485429506074
Astrocyte,Human A1C,Human PTR,17.629000704038965,0.006757714754628761,0.11913175816704492
Astrocyte,Human A1C,Human Pir,5.742516060279647,0.00568875899424855,0.03266778988753259
Astrocyte,Human A1C,Human PnAN,29.253943181665534,0.005000255973548033,0.14627720414395784
Astrocyte,Human A1C,Human PnEN,28.45265299424196,0.005119429770350721,0.14566135878418085
Astrocyte,Human A1C,Human PnRF,32.87779182636431,0.004335409097509556,0.14253867779004514
Astrocyte,Human A1C,Human Pro,3.4759137797758255,0.002216712514278474,0.007705101574182064
Astrocyte,Human A1C,Human Pu,11.249482940478483,0.004009918490184475,0.04510950964803949
Astrocyte,Human A1C,Human Pul,45.20117560819311,0.0027819110764646594,0.1257456510936566
Astrocyte,Human A1C,Human RN,12.877925877438724,0.010126684608551716,0.13041069377312858
Astrocyte,Human A1C,Human S1C,4.026537198573933,0.002111056043420577,0.00850024568710726
Astrocyte,Human A1C,Human SC,24.405288499040378,0.005126806010218388,0.12512117975799392
Astrocyte,Human A1C,Human SEP,8.719352687116196,0.010484770308300839,0.09142041016147903
Astrocyte,Human A1C,Human SI,8.103228528594638,0.007026670560205284,0.05693871734449152
Astrocyte,Human A1C,Human SN,29.445465394723527,0.004032151737084353,0.11872858444059167
Astrocyte,Human A1C,Human SN-RN,26.388289080461977,0.004705347344447084,0.12416606594925375
Astrocyte,Human A1C,Human STG,9.135967797306645,0.0022592837361347694,0.020640743458305896
