cell_type,region_a,region_b,omega,expected_omega,residual,tier
Astrocyte,Human A24,Human CA4C-DGC,18.98553821560157,19.92,0.9533,None
Astrocyte,Human A24,Human CBL,15.44391286773556,19.48,0.7928,None
Astrocyte,Human A24,Human CBV,16.08010359918048,22.4,0.7179,Weak
Astrocyte,Human A24,Human CEN,4.714722056043484,7.55,0.6248,Weak
Astrocyte,Human A24,Human CM,11.480551666348651,13.35,0.8599,None
Astrocyte,Human A24,Human CM-Pf,19.907904386829713,15.71,1.2673,None
Astrocyte,Human A24,Human CMN,8.385813564123792,10.08,0.8315,None
Astrocyte,Human A24,Human CaB,20.466845351448537,18.58,1.1017,None
Astrocyte,Human A24,Human CbDN,23.695309194202196,25.59,0.9261,None
Astrocyte,Human A24,Human Cla,9.307250138315192,15.07,0.6178,Weak
Astrocyte,Human A24,Human CoA,5.216638503891999,8.12,0.6428,Weak
Astrocyte,Human A24,Human DGR-CA4Rpy,10.402888067545806,16.6,0.6265,Weak
Astrocyte,Human A24,Human DGU-CA4Upy,12.661521219236098,17.73,0.7142,Weak
Astrocyte,Human A24,Human DTg,26.64710990795516,15.92,1.6741,None
Astrocyte,Human A24,Human ETH,17.45445413778578,12.9,1.3531,None
