cell_type,region_a,region_b,omega,omega_global_kn,kn,kf
Astrocyte,Human A5-A7,Human Gpe,10.739250901623254,7.9045061970634265,0.0103504697659147,0.1111562917658241
Astrocyte,Human A5-A7,Human HTHma,12.2844538480158,11.445101694184034,0.0131015629730131,0.160945545678853
Astrocyte,Human A5-A7,Human HTHma-HTHtub,9.240033869168911,10.135587580991986,0.0154253374419833,0.1425306404072857
Astrocyte,Human A5-A7,Human HTHpo,17.281280990916883,6.4069169583797665,0.0052135371074481,0.0900965997103833
Astrocyte,Human A5-A7,Human HTHpo-HTHso,13.729845990229505,9.82327604168693,0.0100612047756943,0.1381387920464452
Astrocyte,Human A5-A7,Human HTHso,9.483652993904904,6.5786129915198215,0.0097547914585653,0.0925110572209411
Astrocyte,Human A5-A7,Human HTHso-HTHtub,22.029634733849644,9.458178470296009,0.0060375329521573,0.1330046456296077
Astrocyte,Human A5-A7,Human HTHtub,12.268330737756123,9.427741566334854,0.0108064114576442,0.1325766298506573
Astrocyte,Human A5-A7,Human IC,41.46962286379657,10.509067448203666,0.0035636365073269,0.1477826619825064
Astrocyte,Human A5-A7,Human IO,19.398923758244504,13.606284414012023,0.0098632766462047,0.1913369516662003
Astrocyte,Human A5-A7,Human ITG,5.139840557253391,0.7016083227042522,0.0019195719314556,0.0098662936658608
Astrocyte,Human A5-A7,Human Idg,5.826872506186519,0.845677416504768,0.0020409319439331,0.0118922502311017
Astrocyte,Human A5-A7,Human Ig,3.977550998435868,0.5551791732294186,0.0019628030080765,0.0078071490645076
Astrocyte,Human A5-A7,Human LEC,11.55093002635352,1.97516258208674,0.00240461306496,0.0277755172538086
Astrocyte,Human A5-A7,Human LG,29.809857160206302,10.233445003870461,0.0048274887534507,0.1439067501828682
Astrocyte,Human A5-A7,Human LP,25.72674674527383,10.662689767486507,0.005828290738299,0.1499429597820438
Astrocyte,Human A5-A7,Human LP-VPL,23.612342286137817,11.044084254294539,0.0065773347677933,0.1553062798676502
Astrocyte,Human A5-A7,Human La,8.623310039985776,4.677856822688131,0.0076283784378965,0.0657818723723243
Astrocyte,Human A5-A7,Human M1C,5.050197043274471,1.829137445567868,0.0050932773161104,0.0257220540423981
Astrocyte,Human A5-A7,Human MD,33.091226006592336,10.305389841737194,0.004379362279074,0.1449184669415862
Astrocyte,Human A5-A7,Human MD-Re,27.02950075746566,10.570693128195279,0.0054995195063562,0.1486492666627532
Astrocyte,Human A5-A7,Human MEC,8.065596714341872,1.892101622681504,0.0032988856424144,0.0266074811984472
Astrocyte,Human A5-A7,Human MG,13.355522106388827,9.319174599238982,0.0098124144593943,0.1310499182294908
