pair,ct_i,ct_j,organ_i,organ_j,same_organ,same_ct,omega,js_raw,spearman_dist,cosine_dist,marker_jaccard_dist
Live|hepatocyte vs Sple|nk cell,hepatocyte,nk cell,Liver,Spleen,False,False,22.874943304606425,0.015420702682093928,0.2847496860045018,0.5238949656486511,0.9795918367346939
"Live|hepatocyte vs Sple|cd4-positive, ..",hepatocyte,"cd4-positive, alpha-beta memory t cell",Liver,Spleen,False,False,8.866962036068061,0.015035280979485505,0.28999349126128804,0.5058786869049072,0.9795918367346939
Live|hepatocyte vs Sple|macrophage,hepatocyte,macrophage,Liver,Spleen,False,False,30.289932195043693,0.0156926778698566,0.2756476597700869,0.48313355445861816,0.9795918367346939
Live|hepatocyte vs Sple|naive thymus-d..,hepatocyte,"naive thymus-derived cd4-positive, alpha-beta t cell",Liver,Spleen,False,False,9.745139962793541,0.015434848423295256,0.2915607821854247,0.5052353143692017,0.9795918367346939
Live|hepatocyte vs Sple|naive b cell,hepatocyte,naive b cell,Liver,Spleen,False,False,16.89376316821488,0.016302414789926424,0.3096325419429182,0.5395168662071228,0.9795918367346939
Live|hepatocyte vs Sple|type i nk t cell,hepatocyte,type i nk t cell,Liver,Spleen,False,False,14.207167085314063,0.014706351579990938,0.28725971936974903,0.503902792930603,0.9795918367346939
Live|hepatocyte vs Sple|naive thymus-d..,hepatocyte,"naive thymus-derived cd8-positive, alpha-beta t cell",Liver,Spleen,False,False,17.381132550934957,0.015213190303527697,0.320088070143145,0.5315321683883667,0.9769820971867008
Live|hepatocyte vs Sple|EC,hepatocyte,endothelial cell,Liver,Spleen,False,False,44.6291553802831,0.014090173377612161,0.2758833976887092,0.4701220989227295,0.9717223650385605
Live|hepatocyte vs Sple|mature nk t cell,hepatocyte,mature nk t cell,Liver,Spleen,False,False,12.57469748561325,0.014657222278092491,0.31402189467729114,0.5108904242515564,0.9795918367346939
Live|hepatocyte vs Sple|regulatory t c..,hepatocyte,regulatory t cell,Liver,Spleen,False,False,10.835687176871637,0.01527698635120961,0.3280047787027429,0.5043186545372009,0.9795918367346939
Live|hepatocyte vs Sple|intermediate m..,hepatocyte,intermediate monocyte,Liver,Spleen,False,False,23.684782684119853,0.01773510530785362,0.39250090728372167,0.5862770676612854,0.9717223650385605
Live|hepatocyte vs Sple|innate lymphoi..,hepatocyte,innate lymphoid cell,Liver,Spleen,False,False,9.985328872299736,0.01411657632425039,0.3372422896962539,0.488322913646698,0.9795918367346939
Live|hepatocyte vs Sple|erythrocyte,hepatocyte,erythrocyte,Liver,Spleen,False,False,17.458080850008585,0.019999532962564202,0.35397465750179224,0.6256662607192993,0.9769820971867008
Live|hepatocyte vs Sple|hematopoietic ..,hepatocyte,hematopoietic stem cell,Liver,Spleen,False,False,12.39082967831782,0.01522436647525941,0.32276195678059516,0.4674850106239319,0.9795918367346939
Live|hepatocyte vs Sple|cd1c-positive ..,hepatocyte,cd1c-positive myeloid dendritic cell,Liver,Spleen,False,False,17.134823984807063,0.01786798896506979,0.36593489124394774,0.5027709007263184,0.9795918367346939
Live|hepatocyte vs Sple|cd141-positive..,hepatocyte,cd141-positive myeloid dendritic cell,Liver,Spleen,False,False,16.981187706304993,0.01861897901163041,0.3805791444010499,0.5200878381729126,0.9795918367346939
"Live|hepatocyte vs Sple|cd8-positive, ..",hepatocyte,"cd8-positive, alpha-beta t cell",Liver,Spleen,False,False,16.04471940867427,0.01767192671578177,0.35889684293501856,0.5259509682655334,0.9795918367346939
Live|hepatocyte vs Sple|plasmacytoid d..,hepatocyte,plasmacytoid dendritic cell,Liver,Spleen,False,False,15.842177822846004,0.015982327616493774,0.43355439714262534,0.5587480068206787,0.9795918367346939
Live|hepatocyte vs Sple|platelet,hepatocyte,platelet,Liver,Spleen,False,False,18.552819945135635,0.017287568514385426,0.4730859737844476,0.5610024929046631,0.9821882951653944
Live|hepatocyte vs Lung|macrophage,hepatocyte,macrophage,Liver,Lung,False,False,23.032736771066173,0.017704648858290598,0.2690871487186013,0.4873480200767517,0.9664082687338501
Live|hepatocyte vs Lung|type ii pneumo..,hepatocyte,type ii pneumocyte,Liver,Lung,False,False,37.06192413581387,0.014563959191801229,0.24878628902542466,0.41787874698638916,0.961038961038961
Live|hepatocyte vs Lung|basal cell,hepatocyte,basal cell,Liver,Lung,False,False,13.242138990338447,0.012626383406223258,0.25568237540370853,0.41781163215637207,0.9769820971867008
Live|hepatocyte vs Lung|classical mono..,hepatocyte,classical monocyte,Liver,Lung,False,False,17.909881639991994,0.01595651063520888,0.29103219927093826,0.5147817134857178,0.9769820971867008
Live|hepatocyte vs Lung|club cell,hepatocyte,club cell,Liver,Lung,False,False,29.842350333723147,0.01325808234247175,0.24314504596064956,0.43120652437210083,0.9743589743589743
Live|hepatocyte vs Lung|non-classical ..,hepatocyte,non-classical monocyte,Liver,Lung,False,False,20.275554089798757,0.014926902855946665,0.28650223757764737,0.4904523491859436,0.9769820971867008
Live|hepatocyte vs Lung|capillary EC,hepatocyte,capillary endothelial cell,Liver,Lung,False,False,39.48988428642283,0.015391262997461137,0.2985456602768469,0.5238040685653687,0.9795918367346939
Live|hepatocyte vs Lung|respiratory go..,hepatocyte,respiratory goblet cell,Liver,Lung,False,False,29.364598548749605,0.013182337446678936,0.25518554417298966,0.41299331188201904,0.9690721649484536
