sample,cancer,type,stromal_score,immune_score,admix
TCGA-64-5781-01,TCGA-LUAD,Tumor,9926.140402174231,16396.025051816057,26322.16545399029
TCGA-B0-4712-11,TCGA-KIRC,Normal,2188.063684857043,5768.448748886636,7956.512433743679
TCGA-HN-A2OB-01,TCGA-BRCA,Tumor,14116.283674810427,13335.605778633912,27451.88945344434
TCGA-97-7552-01,TCGA-LUAD,Tumor,11694.833691906559,19039.19041715973,30734.02410906629
TCGA-49-AARN-01,TCGA-LUAD,Tumor,10112.682967325982,14969.423692849308,25082.10666017529
TCGA-AR-A24P-01,TCGA-BRCA,Tumor,13441.049530946813,13157.593190813957,26598.64272176077
TCGA-18-5595-01,TCGA-LUSC,Tumor,4918.556382767656,9381.249861049939,14299.806243817595
TCGA-DD-AAEI-01,TCGA-LIHC,Tumor,182.46966104628154,10214.555369663434,10397.025030709716
TCGA-HE-A5NK-01,TCGA-KIRC,Tumor,5798.968851266447,16845.495808984826,22644.464660251273
TCGA-BP-4777-01,TCGA-KIRC,Tumor,10925.204215076392,18841.649232362488,29766.85344743888
TCGA-E9-A1N9-01,TCGA-BRCA,Tumor,12495.947251040187,13898.762138606722,26394.70938964691
TCGA-B6-A0I9-01,TCGA-BRCA,Tumor,8790.379967552519,13030.80670956412,21821.18667711664
TCGA-E2-A1L9-01,TCGA-BRCA,Tumor,13870.742692634023,14272.76500625451,28143.507698888534
TCGA-DX-AB3C-01,TCGA-KIRC,Tumor,-1991.5718508992031,-3534.2634267968897,-5525.835277696093
TCGA-BP-4762-01,TCGA-KIRC,Tumor,14087.424748166206,17205.092334600176,31292.517082766382
TCGA-AR-A1AP-01,TCGA-BRCA,Tumor,12644.275660030358,14813.607543123766,27457.883203154124
TCGA-44-3919-01,TCGA-LUAD,Tumor,12865.738486844417,17585.38063591989,30451.119122764307
TCGA-B0-5109-01,TCGA-KIRC,Tumor,11169.89148809532,17620.464525170708,28790.356013266028
TCGA-BH-A0H5-01,TCGA-BRCA,Tumor,13703.230727451042,19256.26019893427,32959.49092638531
TCGA-BH-A0E6-01,TCGA-BRCA,Tumor,7809.731372601436,13329.003761149423,21138.73513375086
TCGA-D8-A1JA-01,TCGA-BRCA,Tumor,11743.253229621474,11345.30382010646,23088.557049727933
TCGA-56-7221-01,TCGA-LUSC,Tumor,4774.393363041672,9404.271551329908,14178.66491437158
TCGA-BP-4352-01,TCGA-KIRC,Tumor,5286.665100107359,9453.662183211454,14740.327283318813
TCGA-BH-A0BW-01,TCGA-BRCA,Tumor,11435.138923323484,17081.784718167062,28516.923641490546
TCGA-B2-4098-01,TCGA-KIRC,Tumor,5974.726224062066,16187.321619784798,22162.047843846864
TCGA-91-6847-11,TCGA-LUAD,Normal,8449.426315663572,15561.218437933992,24010.644753597564
