model,covariate,n,events,coef,se,HR,HR_lower,HR_upper,z,p,zph_GLOBAL_p
M2_omega_stage_grade_withCC_ref,grade_ord,304,101,0.0988897743045115,0.142616481492716,1.10394460978994,0.834741324601304,1.45996569903418,0.693396536427398,0.488060735265523,0.115828119025928
M3_omega_unadjusted_withCC_ref,z_omega,326,115,0.0918486243663195,0.0908852283364666,1.09619887172187,0.917334451285541,1.30993877389028,1.01060013874077,0.312207849394942,0.0899416575858805
M4_kf_full_withCC_ref,z_kf,304,101,0.21647914685022,0.118196683862669,1.24169719178633,0.984932570387512,1.56539844700581,1.8315162471203,0.0670235249302082,0.291843786925235
M4_kf_full_withCC_ref,stage_f2,304,101,0.222754934074271,0.284757409353038,1.24951432282745,0.71508108824292,2.18336922710024,0.782262117710525,0.434060545063023,0.291843786925235
M4_kf_full_withCC_ref,stage_f3,304,101,1.06896480927067,0.232049013364413,2.91236308769651,1.84809818169003,4.58950657416955,4.6066337183341,4.0923993333668e-06,0.291843786925235
M4_kf_full_withCC_ref,stage_f4,304,101,1.70609037221178,0.621452178888567,5.50738749678877,1.62916315880233,18.6177282956012,2.74532849054135,0.0060450355633096,0.291843786925235
M4_kf_full_withCC_ref,grade_ord,304,101,0.0779361453885659,0.144153097202476,1.08105362620685,0.814974272773841,1.43400470637836,0.540648427963345,0.588749931474948,0.291843786925235
M4_kf_full_withCC_ref,age,304,101,0.0079068838500178,0.0076999145265358,1.00793822580741,0.992841076744198,1.0232649422356,1.02687943129352,0.304477240770556,0.291843786925235
M4_kf_full_withCC_ref,male,304,101,-0.0489419042556164,0.217083709289598,0.952236448976915,0.622247001783238,1.45722559074063,-0.225451759672698,0.821627849503459,0.291843786925235
M5_kn_full_withCC_ref,z_kn,304,101,-0.0387373984291347,0.0752466433186573,0.962003299557237,0.830092524343913,1.11487613876594,-0.514805667345029,0.606688824672345,0.501281204292979
M5_kn_full_withCC_ref,stage_f2,304,101,0.26775811507726,0.284396968772527,1.30703095069524,0.74852572945097,2.28225943192136,0.941494264980809,0.346451626859422,0.501281204292979
M5_kn_full_withCC_ref,stage_f3,304,101,1.13115552521088,0.231452459362789,3.099235676771,1.96898275374158,4.87828639530625,4.88720460488974,1.02277786984148e-06,0.501281204292979
M5_kn_full_withCC_ref,stage_f4,304,101,1.78328985236182,0.621159767962447,5.94939689575348,1.76092471709135,20.1004183084364,2.87090366172851,0.0040930024385434,0.501281204292979
M5_kn_full_withCC_ref,grade_ord,304,101,0.116700818589072,0.144928632122478,1.12378316435819,0.845900041425863,1.49295252234076,0.805229559404447,0.420687221791472,0.501281204292979
M5_kn_full_withCC_ref,age,304,101,0.0096504868304071,0.008118864144754,1.00969720293523,0.993757372186476,1.02589270796767,1.18864987248773,0.234577473866938,0.501281204292979
M5_kn_full_withCC_ref,male,304,101,-0.014967465279585,0.217890913769855,0.985143990465975,0.642733047055435,1.50997165370201,-0.0686924710196691,0.945234411304764,0.501281204292979
M6_tnomega_full_withCC_ref,z_tnomega,300,99,-0.0805454368043299,0.0999869215657951,0.922612982045836,0.758421331090994,1.12235070368476,-0.805559722641606,0.420496757339738,0.384361937248216
M6_tnomega_full_withCC_ref,stage_f2,300,99,0.185701164974081,0.289790270255578,1.20406239059376,0.682305804598996,2.12480420167964,0.64081228403667,0.521644650909718,0.384361937248216
M6_tnomega_full_withCC_ref,stage_f3,300,99,1.10996280371768,0.230978354342082,3.03424552968325,1.9294858105156,4.77155410225204,4.80548407611307,1.54377525599501e-06,0.384361937248216
M6_tnomega_full_withCC_ref,stage_f4,300,99,1.48255321461201,0.749426716727678,4.40417614481244,1.0137981687925,19.1327703201888,1.97824974946914,0.0479005389023029,0.384361937248216
M6_tnomega_full_withCC_ref,grade_ord,300,99,0.0656293106115522,0.14548580679797,1.06783081024126,0.802906001553222,1.42016953054863,0.451104558279619,0.651914192559364,0.384361937248216
M6_tnomega_full_withCC_ref,age,300,99,0.0083266363322791,0.007941954438974,1.00836139918748,0.992786832339446,1.02418029555783,1.04843667843489,0.294437462114855,0.384361937248216
M6_tnomega_full_withCC_ref,male,300,99,-0.0693426529192239,0.218234927769436,0.933006927751846,0.608307206049314,1.43102353313626,-0.317743147845169,0.750679778743468,0.384361937248216
