pair,omega,kn,kf,same_tissue,same_ct
Sple|B cell vs Hear|endothelial cell,13.353949181176542,0.03660549877316929,0.488827970368523,False,False
Hear|smooth muscle cell vs Marr|monocyte,13.301423623273417,0.03834885910698213,0.510094420451196,False,False
Sple|T cell vs Hear|fibroblast,13.277413851592575,0.03868381446713111,0.5136210140383238,False,False
Lung|macrophage vs Marr|NK cell,13.260409094571276,0.029733765381400594,0.394281892879373,False,False
Lung|type II pneumocyte vs Marr|monocyte,13.141173550526213,0.03698123143151692,0.48597678035373887,False,False
Lung|macrophage vs Hear|endocardial cell,13.06839368859786,0.03684133964447253,0.48145713048931493,False,False
Lung|type II pneumocyte vs Lung|macrophage,12.991045798349058,0.03442049008525057,0.4471581630991098,True,False
Live|liver sinusoid EC vs Marr|monocyte,12.886591202502347,0.038237267370185304,0.49274803330036,False,False
Sple|B cell vs Marr|hematopoietic st..,12.850738733272792,0.03052093871351367,0.39221660930159513,False,False
Sple|B cell vs Hear|leukocyte,12.822326676549023,0.031376835148409304,0.40232403034912967,False,False
Lung|monocyte vs Hear|endothelial cell,12.80418976734853,0.04014101358523118,0.5139731553990154,False,False
Live|NK cell vs Sple|B cell,12.802677446309255,0.0333853411973528,0.4274217547846879,False,False
Live|hepatocyte vs Hear|leukocyte,12.781884667071456,0.04108528744765173,0.525147405669363,False,False
Lung|stromal cell vs Hear|endothelial cell,12.776902709693573,0.03125608356169449,0.399355938753823,False,False
Lung|type II pneumocyte vs Marr|NK cell,12.774420103160757,0.040794814584271526,0.5211300995300339,False,False
Sple|B cell vs Lung|stromal cell,12.747766588070611,0.04128899452168287,0.5263424648185394,False,False
Live|hepatocyte vs Hear|fibroblast,12.697373455806062,0.040528575198600175,0.5146064549283458,False,False
Live|hepatocyte vs Hear|cardiac muscle,12.676685104770895,0.043129346340369794,0.5467371423314709,False,False
Sple|T cell vs Marr|B cell,12.637366035363884,0.025309370094785764,0.3198437740123,False,False
Hear|fibroblast vs Marr|B cell,12.631450833879496,0.038053703912353076,0.4806734900158957,False,False
Lung|type II pneumocyte vs Marr|B cell,12.5541397102478,0.0377102348239734,0.4734195564864139,False,False
Sple|T cell vs Lung|macrophage,12.546770310614864,0.03270596703543384,0.4103542561801297,False,False
Hear|leukocyte vs Marr|hematopoietic st..,12.324084704539164,0.030021991246884053,0.36999356312553244,False,False
Lung|type II pneumocyte vs Marr|Fraction A pre-p..,12.318088113256872,0.04046224502427317,0.4984174994691863,False,False
Lung|stromal cell vs Lung|macrophage,12.288771195406802,0.03939249637854658,0.48408537481185,True,False
Lung|stromal cell vs Marr|Fraction A pre-p..,12.269831232393502,0.041641407102653114,0.5109330374289458,False,False
Hear|endocardial cell vs Marr|T cell,12.206691055258556,0.04030331131376717,0.4919700697110627,False,False
Hear|smooth muscle cell vs Marr|Fraction A pre-p..,12.183574038349708,0.04056898458471846,0.49427522734858526,False,False
Sple|T cell vs Hear|smooth muscle cell,12.183535486906393,0.04072523023053369,0.4961772877261402,False,False
Hear|leukocyte vs Marr|monocyte,12.175483915656,0.019277243269000745,0.23470976535990648,False,False
Live|liver sinusoid EC vs Sple|B cell,12.168629717570807,0.040770011542646915,0.4961151740435581,False,False
Lung|stromal cell vs Hear|endocardial cell,12.118815372443699,0.02876268891624234,0.3485697165909737,False,False
