pair,ct_i,ct_j,organ_i,organ_j,same_organ,same_ct,omega,js_raw,spearman_dist,cosine_dist,marker_jaccard_dist
Sple|classical mono.. vs Lung|EC of artery,classical monocyte,endothelial cell of artery,Spleen,Lung,False,False,25.06001005186666,0.13724214918650818,0.27893251298900223,0.2832447290420532,0.7261146496815287
Sple|classical mono.. vs Lung|neutrophil,classical monocyte,neutrophil,Spleen,Lung,False,False,3.054482900175391,0.14284342753853302,0.3275791026261381,0.25409168004989624,0.7616099071207431
Sple|classical mono.. vs Lung|cd4-positive a..,classical monocyte,cd4-positive alpha-beta t cell,Spleen,Lung,False,False,14.351500464376967,0.10307014301316456,0.2535540007382445,0.20203793048858643,0.5347985347985348
Sple|classical mono.. vs Lung|nk cell,classical monocyte,nk cell,Spleen,Lung,False,False,17.085541433637793,0.10374588317358788,0.2482135611995978,0.208085298538208,0.6062717770034843
Sple|classical mono.. vs Lung|plasma cell,classical monocyte,plasma cell,Spleen,Lung,False,False,8.200067422955204,0.1397712947754686,0.277491674918915,0.28309690952301025,0.6666666666666667
Sple|classical mono.. vs Lung|b cell,classical monocyte,b cell,Spleen,Lung,False,False,8.621003309252762,0.13153005277645508,0.3155917639562087,0.24752169847488403,0.555956678700361
Sple|classical mono.. vs Lung|vascular assoc..,classical monocyte,vascular associated smooth muscle cell,Spleen,Lung,False,False,14.16221945043997,0.17586038495772113,0.3387992608864052,0.3479257822036743,0.7730061349693251
Sple|classical mono.. vs Lung|cd8-positive a..,classical monocyte,cd8-positive alpha-beta t cell,Spleen,Lung,False,False,13.609479897619257,0.1102937718535779,0.27710765836076545,0.20563465356826782,0.5347985347985348
Sple|classical mono.. vs Lung|bronchial smoo..,classical monocyte,bronchial smooth muscle cell,Spleen,Lung,False,False,17.391566085047724,0.15940686257026318,0.3242651645331224,0.3051247000694275,0.6754966887417219
Sple|classical mono.. vs Lung|bronchial vess..,classical monocyte,bronchial vessel endothelial cell,Spleen,Lung,False,False,29.130231930372965,0.12780388341833945,0.2793849060252972,0.24819111824035645,0.6440677966101696
Sple|classical mono.. vs Lung|EC of lymphati..,classical monocyte,endothelial cell of lymphatic vessel,Spleen,Lung,False,False,11.837399061045547,0.18729711865171467,0.3955913635331345,0.3188360333442688,0.6754966887417219
Sple|classical mono.. vs Lung|smooth muscle ..,classical monocyte,smooth muscle cell,Spleen,Lung,False,False,15.352403091428254,0.16202819995441167,0.35526158474866987,0.2807624340057373,0.6206896551724138
"Sple|cd8-positive, .. vs Sple|plasma cell","cd8-positive, alpha-beta memory t cell",plasma cell,Spleen,Spleen,True,False,16.471053992564677,0.08984257437706569,0.15606070822986318,0.19859087467193604,0.6111111111111112
"Sple|cd8-positive, .. vs Sple|nk cell","cd8-positive, alpha-beta memory t cell",nk cell,Spleen,Spleen,True,False,35.17972285272634,0.02307846065368745,0.10903093734878722,0.05131864547729492,0.4375
"Sple|cd8-positive, .. vs Sple|cd4-positive, ..","cd8-positive, alpha-beta memory t cell","cd4-positive, alpha-beta memory t cell",Spleen,Spleen,True,False,47.021454887312416,0.013536640476367115,0.1019564326305824,0.024224936962127686,0.2222222222222222
"Sple|cd8-positive, .. vs Sple|macrophage","cd8-positive, alpha-beta memory t cell",macrophage,Spleen,Spleen,True,False,23.024310589479267,0.09270022141201513,0.168121859762966,0.20912081003189087,0.6577181208053691
