cell_type,region_a,region_b,omega,kn,kf
Astrocyte,Human A1C,Human TH-TL,42.095834046421245,0.000853733266299224,0.03593861389804129
Astrocyte,Human A1C,Human V1C,51.39193070290078,0.0003738840534120201,0.01921462336387019
Astrocyte,Human A1C,Human V2,41.11651007366759,0.000367410586481185,0.01510664108022576
Astrocyte,Human A1C,Human VA,82.85687976839529,0.0009283947770031037,0.07692389441575231
Astrocyte,Human A1C,Human VLN,205.3406185676337,0.0007978023064435312,0.16382121909979955
Astrocyte,Human A1C,Human VPL,61.87002559322452,0.0026472013854924826,0.1637824174708393
Astrocyte,Human A5-A7,Human A13,21.874480005297432,0.0005278491696409861,0.011546426107124603
Astrocyte,Human A5-A7,Human A14,40.12694651597406,0.0004992326417741096,0.020032681515498134
Astrocyte,Human A5-A7,Human A19,21.37539624658512,0.00024810542544528456,0.005303351779820539
Astrocyte,Human A5-A7,Human A23,13.07351065931879,0.00041229249719686417,0.005390110356860366
Astrocyte,Human A5-A7,Human A24,56.37427903366827,0.0005040771591841407,0.028416986426345568
Astrocyte,Human A5-A7,Human A25,68.86594526305737,0.0003238279360398852,0.022300716917971575
Astrocyte,Human A5-A7,Human A29-A30,23.300841693062676,0.002146726570660834,0.05002053598125942
Astrocyte,Human A5-A7,Human A32,40.36269802494463,0.0003180987680846508,0.012839324518307653
Astrocyte,Human A5-A7,Human A35-36,22.534543095840874,0.002633945380594298,0.059354755691093206
Astrocyte,Human A5-A7,Human A35-A36,68.22464355403707,0.0004892793864093611,0.03338091173611663
Astrocyte,Human A5-A7,Human A35r,57.6299941140714,0.0008342241190903762,0.04807633107299478
Astrocyte,Human A5-A7,Human A38,37.681519098759615,0.0005156980901279134,0.019432287432348826
Astrocyte,Human A5-A7,Human A40,16.86577519190247,0.00028393813170492026,0.00478883669774398
Astrocyte,Human A5-A7,Human A43,13.103522364988677,0.0003463843673149254,0.004538855303993578
Astrocyte,Human A5-A7,Human A44-A45,41.96713992085701,0.0003057542200817655,0.012831630135563961
Astrocyte,Human A5-A7,Human A46,25.662306555435,0.00022676599876012574,0.005819338576531739
Astrocyte,Human A5-A7,Human ANC,221.64854177317815,0.0009146197477275814,0.2027241333607705
Astrocyte,Human A5-A7,Human AON,56.737821186369764,0.000412303721341724,0.023393214815961565
Astrocyte,Human A5-A7,Human BL,109.68960243703852,0.000688054058437035,0.07547237612514923
Astrocyte,Human A5-A7,Human BM,102.70021651800728,0.0005544145765031985,0.056938497047617796
Astrocyte,Human A5-A7,Human BNST,162.8824609422353,0.0008786275242783413,0.14311301340603982
Astrocyte,Human A5-A7,Human CA1-3,66.27486874367527,0.001164066912558681,0.0771483818386819
Astrocyte,Human A5-A7,Human CA1C-CA3C,118.19671608940743,0.0007177200803826739,0.08483215657265758
Astrocyte,Human A5-A7,Human CA1R-CA2R,128.99884951064365,0.0005389635567692021,0.06952567875139154
Astrocyte,Human A5-A7,Human CA1R-CA2R-CA3R,45.13064690758604,0.0020009090435017074,0.09030231953647128
Astrocyte,Human A5-A7,Human CA1U,138.43149290644027,0.0005861784250599817,0.08114555449059918
Astrocyte,Human A5-A7,Human CA1U-CA2U-CA3U,49.57408242091517,0.0021034034571457373,0.10427429634898068
Astrocyte,Human A5-A7,Human CA2U-CA3U,80.9611260784985,0.0008804835611385196,0.07128494060338102
Astrocyte,Human A5-A7,Human CA3R,165.36099105925524,0.0009113066326150213,0.15069456792809255
Astrocyte,Human A5-A7,Human CA4C-DGC,136.27250878271067,0.000640842395764999,0.08732920100521918
Astrocyte,Human A5-A7,Human CBL,166.34803689293645,0.001974274158330798,0.3284166305267826
Astrocyte,Human A5-A7,Human CBV,139.95606106411412,0.002342489788679656,0.3278456439065137
Astrocyte,Human A5-A7,Human CEN,71.70637249639103,0.001416463396390663,0.10156945192909206
