cell_type,region_a,region_b,omega,kn,kf,expected_omega,observed_residual,null_le_count,p_value,q_value
Astrocyte,Human A1C,Human IO,16.227274369024887,0.0101467797813325,0.1646545794737574,13.780781791722173,1.1775293023485989,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human ITG,5.4183161642356055,0.0038126567633962,0.0206581797697918,7.067095982598283,0.7666962749023697,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human Idg,5.928882153374547,0.003045823364977,0.0180583277909437,9.099680105564762,0.651548415394167,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human Ig,4.935555140901635,0.0021175327853305,0.010451199824666,5.671782345685854,0.8701947359908447,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human LEC,8.178583491586991,0.0036877091242978,0.0301602369657573,11.944276009337292,0.6847282736260852,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human LG,28.75765137433217,0.0043310177553052,0.1245498987031113,17.012668740047552,1.6903668562379701,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human LP,22.083370612043375,0.0061211602664586,0.1351758507399214,12.447713036820623,1.7740905937275588,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human LP-VPL,16.036503492938213,0.0081801244979056,0.1311805950833326,15.931798623073899,1.0065720683735402,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human La,4.749398595452166,0.0119589427622167,0.0567977859579648,8.12646965103793,0.5844356527985757,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human M1C,7.6277222217343486,0.0024135837284633,0.0184101462396161,8.651729756890866,0.881641294408101,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human MD,34.086426870620166,0.0037510848084523,0.1278610780088051,19.680947356519674,1.731950513008634,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human MD-Re,14.910428714120366,0.0088848436252833,0.1324768275108935,13.67593697488018,1.0902674340710758,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human MEC,5.875196264347037,0.0041218278334264,0.0242165474892285,8.78636765925012,0.6686717984264797,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human MG,16.36743618075589,0.0065802889379138,0.1077024592422395,10.550566772425208,1.5513324102676227,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human MN,6.312865534945069,0.0268729605656875,0.1696453865770668,10.34627827584071,0.6101581038745164,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human MTG,6.113438866568792,0.0027926659331141,0.0170727924568427,8.198052806535841,0.7457184054358488,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human MoAN,24.06630496464528,0.006492502699648,0.1562505499535131,16.211632067096513,1.4845084606559005,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human MoRF-MoEN,34.28926611820535,0.0043116572092985,0.1478435614601167,20.06799895287441,1.7086539718646923,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human MoSR,9.65000911463446,0.0168416097030059,0.1625216871391232,10.008115493384144,0.9642184006583048,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human NAC,10.97447055937124,0.0055644372241303,0.0610667524956881,13.876872125229497,0.7908461258656834,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human PAG,29.72777249232708,0.0045681742035186,0.1358016434275192,21.611401304408805,1.3755596906278589,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human PAG-DR,18.866215308550384,0.0069280743601717,0.1307065425526475,14.517364703191237,1.2995619862331607,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human PB,25.815376061557437,0.0055237652898018,0.1425980782320136,17.489914952431345,1.4760149567204577,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human PN,24.417613136739448,0.0063849342448825,0.1559048542950607,23.54033881806396,1.0372668518263763,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human PTR,17.629000704038965,0.0067577147546287,0.1191317581670449,11.808477445792189,1.4929105623452625,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human Pir,5.742516060279647,0.0056887589942485,0.0326677898875325,9.847788305469944,0.5831274883407042,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human PnAN,29.253943181665534,0.005000255973548,0.1462772041439578,18.87086774144484,1.5502171697921994,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human PnEN,28.45265299424196,0.0051194297703507,0.1456613587841808,15.442120224916964,1.8425353889119171,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human PnRF,32.87779182636431,0.0043354090975095,0.1425386777900451,23.844706561544236,1.3788297935856448,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human Pro,3.475913779775825,0.0022167125142784,0.007705101574182,6.521653698468456,0.5329804280457436,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human Pu,11.249482940478485,0.0040099184901844,0.0451095096480394,10.596068432665868,1.0616657500812519,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human Pul,45.20117560819311,0.0027819110764646,0.1257456510936566,22.067785002116413,2.0482878369468476,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human RN,12.877925877438724,0.0101266846085517,0.1304106937731285,9.579110740521228,1.3443759265630952,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human S1C,4.026537198573933,0.0021110560434205,0.0085002456871072,5.5243920881445545,0.7288652098418131,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human SC,24.405288499040378,0.0051268060102183,0.1251211797579939,14.895688031752416,1.638412972063916,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human SEP,8.719352687116196,0.0104847703083008,0.091420410161479,14.330957627279288,0.6084277766978196,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human SI,8.103228528594638,0.0070266705602052,0.0569387173444915,10.876768438002205,0.7450033136940627,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human SN,29.445465394723527,0.0040321517370843,0.1187285844405916,23.20788954754861,1.2687696282936582,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human SN-RN,26.388289080461977,0.004705347344447,0.1241660659492537,22.850748562062243,1.1548107060384405,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human STG,9.135967797306645,0.0022592837361347,0.0206407434583058,10.174847819202563,0.8978972422628981,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human STH,20.69897931717032,0.0056873771283474,0.1177229015486115,14.289138628680954,1.4485813214537386,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human SpC,13.627168467718755,0.0118790154707561,0.1618773450506321,18.554213189611737,0.7344514331304779,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human Sub,7.85554532545459,0.0049253119321485,0.0386910111249953,11.208549447585161,0.7008529838932045,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human TF,3.6579842581241913,0.0036182879618504,0.0132356404058093,5.909689275751941,0.6189808105704093,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human TH-TL,4.511167337814439,0.0047646139520837,0.0214939708379352,7.829921714659342,0.5761446285431613,0,9.999000099990002e-05,0.0002751999299680118
