cell_type,region_a,region_b,omega,expected_omega,residual,tier
Astrocyte,Human A23,Human V2,18.21913447831618,35.29,0.5163,Weak
Astrocyte,Human A23,Human VA,115.1568489895739,138.41,0.832,None
Astrocyte,Human A23,Human VLN,193.5770532672566,185.06,1.046,None
Astrocyte,Human A23,Human VPL,58.34931902981134,70.92,0.8228,None
Astrocyte,Human A24,Human A25,27.121112838535936,43.7,0.6206,Weak
Astrocyte,Human A24,Human A29-A30,27.449640250786796,42.77,0.6418,Weak
Astrocyte,Human A24,Human A32,53.65376644645183,64.99,0.8256,None
Astrocyte,Human A24,Human A35-36,14.18400464144178,32.86,0.4316,Moderate
Astrocyte,Human A24,Human A35-A36,52.35337485705496,82.5,0.6346,Weak
Astrocyte,Human A24,Human A35r,51.906039421934345,82.06,0.6326,Weak
Astrocyte,Human A24,Human A38,68.24438352486803,81.29,0.8396,None
Astrocyte,Human A24,Human A40,47.63752130713844,58.11,0.8198,None
Astrocyte,Human A24,Human A43,47.48666950470486,68.01,0.6983,Weak
Astrocyte,Human A24,Human A44-A45,52.513069303334,78.47,0.6692,Weak
Astrocyte,Human A24,Human A46,47.24787355767394,88.43,0.5343,Weak
Astrocyte,Human A24,Human ANC,168.4945168005544,141.35,1.192,None
Astrocyte,Human A24,Human AON,33.51684614625967,53.32,0.6286,Weak
Astrocyte,Human A24,Human BL,62.78921085350575,59.06,1.0632,None
Astrocyte,Human A24,Human BM,61.12520902875485,72.19,0.8467,None
Astrocyte,Human A24,Human BNST,138.58674681915835,125.79,1.1017,None
Astrocyte,Human A24,Human CA1-3,50.97410182006473,57.51,0.8863,None
Astrocyte,Human A24,Human CA1C-CA3C,96.78599717654367,89.7,1.079,None
Astrocyte,Human A24,Human CA1R-CA2R,69.51168082306505,67.91,1.0236,None
Astrocyte,Human A24,Human CA1R-CA2R-CA3R,44.14942729116287,63.47,0.6956,Weak
Astrocyte,Human A24,Human CA1U,86.43778855037007,82.84,1.0434,None
Astrocyte,Human A24,Human CA1U-CA2U-CA3U,47.99077307502008,51.5,0.9319,None
Astrocyte,Human A24,Human CA2U-CA3U,73.6360506517169,112.03,0.6573,Weak
Astrocyte,Human A24,Human CA3R,89.02923890990259,73.39,1.2131,None
Astrocyte,Human A24,Human CA4C-DGC,133.01902489565327,122.63,1.0847,None
Astrocyte,Human A24,Human CBL,125.52357481396426,134.79,0.9313,None
Astrocyte,Human A24,Human CBV,122.25066420642455,141.66,0.863,None
Astrocyte,Human A24,Human CEN,64.05419029391915,72.96,0.8779,None
Astrocyte,Human A24,Human CM,118.43831373622027,122.12,0.9699,None
Astrocyte,Human A24,Human CM-Pf,173.87787894258648,128.54,1.3528,None
Astrocyte,Human A24,Human CMN,81.09957058873509,70.0,1.1586,None
