cell_type,region_a,region_b,omega,omega_cal,kn,kf
Astrocyte,Human A5-A7,Human SN-RN,195.5082276087103,29.311578352130482,0.0010837280115725,0.2118777427524681
Astrocyte,Human A5-A7,Human STG,36.30398269545328,5.4428759663348245,0.0005716959410501,0.0207548395509453
Astrocyte,Human A5-A7,Human STH,161.815251561668,24.26015765542249,0.0013689651210236,0.221519435437586
Astrocyte,Human A5-A7,Human SpC,115.40561478685584,17.302191122467143,0.0028385157151237,0.3275806511860055
Astrocyte,Human A5-A7,Human Sub,92.74015634301836,13.90407141574488,0.0005353647259751,0.0496498083874727
Astrocyte,Human A5-A7,Human TF,28.13228500874076,4.217733884368929,0.0005422268159859,0.015254079326699
Astrocyte,Human A5-A7,Human TH-TL,43.77533720969695,6.563019071918584,0.000531446297353,0.0232642408754747
Astrocyte,Human A5-A7,Human V1C,38.72604389066027,5.806003581808136,0.0006222332882059,0.0240966336292939
Astrocyte,Human A5-A7,Human V2,32.44739780462923,4.8646773320283705,0.0003264984308121,0.0105940244671474
Astrocyte,Human A5-A7,Human VA,139.27830958844834,20.881305785374565,0.0006195656870185,0.0862920615669535
Astrocyte,Human A5-A7,Human VLN,178.51299794134954,26.763567907248806,0.001126444879813,0.2010850525111114
Astrocyte,Human A5-A7,Human VPL,57.87845151817707,8.677429013219951,0.0033664423101023,0.1948444680339985
Astrocyte,Human A13,Human A14,28.552012794022303,4.280661588309191,0.0005191367464259,0.014822399025802
Astrocyte,Human A13,Human A19,32.592918468854165,4.886494523066592,0.000491824940209,0.0160300101771821
Astrocyte,Human A13,Human A23,24.497472471738718,3.672784478521547,0.0003335638254504,0.0081714706315391
Astrocyte,Human A13,Human A24,57.97397785020928,8.691750802130327,0.0003082275813908,0.0178691789763742
Astrocyte,Human A13,Human A25,42.01232999312604,6.298700148894459,0.0003425059080988,0.014389471235644
Astrocyte,Human A13,Human A29-A30,32.26576551773575,4.837446104608059,0.0011420124765518,0.0368479067867501
Astrocyte,Human A13,Human A32,39.08069199351952,5.859174211921967,0.000417899161634,0.0163317884201722
Astrocyte,Human A13,Human A35-36,20.84590314910317,3.1253228109599953,0.0025220449167785,0.0525743040728541
Astrocyte,Human A13,Human A35-A36,50.19223255755226,7.525072347459109,0.0006733062877108,0.0337947457752452
Astrocyte,Human A13,Human A35r,45.57198838858446,6.832382067254041,0.0009801423811463,0.0446670372127603
Astrocyte,Human A13,Human A38,27.682684262469344,4.150327475632586,0.0004409361669485,0.0122062966895394
Astrocyte,Human A13,Human A40,22.289226297522493,3.3417130880843318,0.0005660264825453,0.0126162923598434
Astrocyte,Human A13,Human A43,17.9888386409583,2.69697730749,0.0003913813975356,0.007040496807341
Astrocyte,Human A13,Human A44-A45,25.992034811162675,3.8968567932777622,0.0003984768150864,0.0103572232491689
Astrocyte,Human A13,Human A46,25.556341996440093,3.831535531700164,0.0005759882569779,0.0147201528812629
Astrocyte,Human A13,Human ANC,168.86457794875682,25.31702817822441,0.0011754474888299,0.198491444102192
Astrocyte,Human A13,Human AON,42.484607755476745,6.369506410116453,0.0003124885035529,0.0132759515015441
Astrocyte,Human A13,Human BL,64.91596640908583,9.732528697014367,0.0012655335940134,0.0821533362785442
Astrocyte,Human A13,Human BM,68.6445985676425,10.291544013139806,0.0009400793088487,0.0645313667776726
