rep,tissue,cell_type,kn,kf,omega,n_half_a,n_half_b
33,Heart,endothelial cell,0.0002688199198636054,0.0020288726558562106,7.547330037467558,568,569
33,Spleen,B cell,0.00027239377028252364,0.001784603570255888,6.551557946442453,619,619
33,Marrow,B cell,0.00016031720067641062,0.0015007506248483995,9.361132919714352,924,924
33,Heart,fibroblast,0.00011556917192650796,0.0011089607078847994,9.595644663699787,1026,1026
33,Marrow,neutrophil,0.00022184203442008682,0.0007232253741556944,3.2600916956349795,299,300
34,Liver,hepatocyte,0.00021952234411864608,0.002453779246550993,11.177810880266426,199,200
34,Heart,endothelial cell,0.00025079419853957805,0.0022086492860820903,8.806620324327564,568,569
34,Spleen,B cell,0.00024054468350642432,0.0015253163416156373,6.341093552270924,619,619
34,Marrow,B cell,0.00016586117673246832,0.001005673051646881,6.063342075939911,924,924
34,Heart,fibroblast,0.00010744145562639255,0.0007205513721730518,6.706455790013062,1026,1026
34,Marrow,neutrophil,0.00021603046358772632,0.002132860379415797,9.872961174059965,299,300
35,Liver,hepatocyte,0.00031139714386425735,0.007268439851219844,23.34138252208333,199,200
35,Heart,endothelial cell,0.000285873124536383,0.0015673902405131755,5.482817746701803,568,569
35,Spleen,B cell,0.00025590637558981996,0.0017444197625123333,6.8166326786182925,619,619
35,Marrow,B cell,0.00016979627212986584,0.001142571575137187,6.729073381913298,924,924
35,Heart,fibroblast,0.00011585692069716685,0.0008109989540169287,7.000004394530406,1026,1026
35,Marrow,neutrophil,0.00022252406108104713,0.0015294160908219667,6.8730369353852785,299,300
36,Liver,hepatocyte,0.00023161055592500735,0.002502608669664048,10.805244431408221,199,200
36,Heart,endothelial cell,0.00025759749793880204,0.0021242234257597766,8.246289046892965,568,569
36,Spleen,B cell,0.0002440302413136659,0.0010291613946565806,4.2173518704746975,619,619
36,Marrow,B cell,0.00018148296017124412,0.00170634472398422,9.402231054497587,924,924
36,Heart,fibroblast,0.0001080789654013184,0.0005075931714948825,4.69650287278463,1026,1026
36,Marrow,neutrophil,0.00023891068046262066,0.0006190235598408991,2.5910250585793713,299,300
37,Liver,hepatocyte,0.00028574992841208,0.0034574641729578277,12.099615185106254,199,200
37,Heart,endothelial cell,0.0002517702446104337,0.0016206534982750151,6.437033497674304,568,569
37,Spleen,B cell,0.00023830476139342658,0.0014445638180951535,6.061833635418921,619,619
37,Marrow,B cell,0.0001756791062527368,0.0014510778619071683,8.259820378523601,924,924
37,Heart,fibroblast,0.00011553629541689658,0.0007738999876603862,6.698327870630404,1026,1026
37,Marrow,neutrophil,0.00029622649386153263,0.0023349958391732416,7.882467934366148,299,300
38,Liver,hepatocyte,0.0002041016153413476,0.0021031625121566582,10.304487343910758,199,200
38,Heart,endothelial cell,0.0002681691891424888,0.0019738137344476577,7.360330024337334,568,569
38,Spleen,B cell,0.000268186060135067,0.0016754111590100197,6.2471970324118615,619,619
38,Marrow,B cell,0.00017038090578825766,0.0012688365326919413,7.447058265254199,924,924
38,Heart,fibroblast,0.00011130842242816539,0.000766757907067184,6.888588395563894,1026,1026
38,Marrow,neutrophil,0.0002803253208259158,0.0026418106271636306,9.424088481840053,299,300
39,Liver,hepatocyte,0.00029964999613267735,0.001770403872829604,5.908239264737766,199,200
39,Heart,endothelial cell,0.00022851691758565116,0.002219466095574024,9.7124804545035,568,569
39,Spleen,B cell,0.00028303802546924585,0.0017736118076561933,6.266337552050613,619,619
39,Marrow,B cell,0.00017023083648885778,0.001185996274171285,6.966988464800927,924,924
39,Heart,fibroblast,0.00011532434156925083,0.0007381234374705462,6.40041319487883,1026,1026
39,Marrow,neutrophil,0.00021425758537932832,0.001702819984660017,7.947536520797112,299,300
40,Liver,hepatocyte,0.00021409606719130988,0.00324727889623852,15.167391623951916,199,200
40,Heart,endothelial cell,0.00024078188324850967,0.0010336205205410446,4.292766991419576,568,569
40,Spleen,B cell,0.00022653404568456217,0.0018332674965831001,8.092679804676413,619,619
40,Marrow,B cell,0.00016339046954587342,0.0014853056093532737,9.09052782259286,924,924
40,Heart,fibroblast,0.00011967853731068739,0.0008454827167330395,7.064614388945555,1026,1026
40,Marrow,neutrophil,0.0002595094712525446,0.000705660860088751,2.7192104268211046,299,300
41,Liver,hepatocyte,0.00025340809435747094,0.0030351127194819943,11.977173527853072,199,200
41,Heart,endothelial cell,0.00024023947089794008,0.0019558926186574663,8.141429097171047,568,569
41,Spleen,B cell,0.00027036778700866455,0.0016951364968744683,6.2697428404077735,619,619
41,Marrow,B cell,0.00014300155956339271,0.0011871412951079698,8.301596840849202,924,924
41,Heart,fibroblast,0.0001057345354636072,0.0008634509485807066,8.166214991107594,1026,1026
41,Marrow,neutrophil,0.00023404638085076031,0.0007302377287523054,3.1200556321267854,299,300
42,Liver,hepatocyte,0.00021970484791445616,0.002843688380095674,12.943220903358887,199,200
42,Heart,endothelial cell,0.00028258794626789547,0.0016347768540601235,5.785019763406125,568,569
42,Spleen,B cell,0.0002517939330173583,0.0018523497035194214,7.356609753546855,619,619
42,Marrow,B cell,0.00019779843105472808,0.001965995676750956,9.939389641604347,924,924
42,Heart,fibroblast,0.00010479092455194346,0.0006319042534274542,6.030142935843912,1026,1026
42,Marrow,neutrophil,0.000324007083936308,0.004420031117624597,13.64177308695346,299,300
43,Liver,hepatocyte,0.00021609494452677725,0.0017553722627455214,8.123152841865792,199,200
43,Heart,endothelial cell,0.00027266148727051327,0.0011789195943293085,4.323748124940275,568,569
43,Spleen,B cell,0.0002548581025188113,0.0016901980161624197,6.631917916118302,619,619
43,Marrow,B cell,0.00015975322243323264,0.0009654291260572034,6.043252908157739,924,924
43,Heart,fibroblast,0.00010187198021149521,0.0010971745300261864,10.770130586922482,1026,1026
43,Marrow,neutrophil,0.0002241449526049858,0.0016800504833259181,7.49537504101954,299,300
44,Liver,hepatocyte,0.00031690367730565416,0.004296736369433486,13.558493249320286,199,200
44,Heart,endothelial cell,0.00023271400918895333,0.0019818397813198283,8.516203163818398,568,569
44,Spleen,B cell,0.0002757475377505198,0.001772223784349556,6.426979543704793,619,619
44,Marrow,B cell,0.0001576284461651012,0.0011032230205219233,6.998882799151617,924,924
44,Heart,fibroblast,0.00011271218821872354,0.0009487762173934671,8.41768962512129,1026,1026
44,Marrow,neutrophil,0.00023641652542680388,0.0018404209522831416,7.784654431244267,299,300
45,Liver,hepatocyte,0.0002349634265696872,0.0011154664749556727,4.747404697151194,199,200
45,Heart,endothelial cell,0.000287802875374198,0.0013792408487533969,4.792310872364022,568,569
45,Spleen,B cell,0.0002688223056075121,0.0014490476801684985,5.3903550782134415,619,619
45,Marrow,B cell,0.00014975416385711618,0.0012289151156913516,8.206216668966128,924,924
45,Heart,fibroblast,0.00010331424771501898,0.0008277595366067768,8.012055983701886,1026,1026
45,Marrow,neutrophil,0.00020296007105611165,0.0016643065386976177,8.20016730402845,299,300
46,Liver,hepatocyte,0.00030140768610128983,0.0014566757186699438,4.832908335922195,199,200
46,Heart,endothelial cell,0.0002514520848007645,0.0019937860496105934,7.929089357880447,568,569
46,Spleen,B cell,0.0002355988790104482,0.0015165610391952161,6.4370469229947425,619,619
46,Marrow,B cell,0.00016087916190070893,0.0010512485240453272,6.534398312530585,924,924
46,Heart,fibroblast,0.00012971577609466892,0.0007516274771535401,5.794418379804387,1026,1026
46,Marrow,neutrophil,0.00028528973220903736,0.0009652366645693487,3.3833557804390275,299,300
47,Liver,hepatocyte,0.00026402682649299405,0.0025409456823962603,9.623816322557225,199,200
47,Heart,endothelial cell,0.00026020569812315857,0.0020516300711344968,7.8846469771136025,568,569
47,Spleen,B cell,0.00027115026969424085,0.0016602632151702876,6.1230372997322196,619,619
47,Marrow,B cell,0.00016272463911957535,0.0014274149697408398,8.77196580348185,924,924
47,Heart,fibroblast,0.00011553605631188667,0.0007622955512102825,6.597901776675541,1026,1026
47,Marrow,neutrophil,0.00022355835414274855,0.0008071994361691329,3.610687863866239,299,300
48,Liver,hepatocyte,0.0002402036426485194,0.00299294907639696,12.460048662860727,199,200
48,Heart,endothelial cell,0.00024802406014095646,0.0021330958054142164,8.60035838539995,568,569
48,Spleen,B cell,0.0002552147080700484,0.0018931713069766116,7.417955341574576,619,619
48,Marrow,B cell,0.0001547433106147958,0.0011414869043590973,7.376647816464344,924,924
48,Heart,fibroblast,0.00010982012862347125,0.0009872462662537723,8.989665907591858,1026,1026
48,Marrow,neutrophil,0.00023671782750911123,0.0008827191525990095,3.728993130291523,299,300
49,Liver,hepatocyte,0.000207356111632757,0.0013743757882356432,6.628093946272315,199,200
49,Heart,endothelial cell,0.0002553135271182033,0.001885817862342441,7.386282597824744,568,569
49,Spleen,B cell,0.0002617403631179206,0.0015766216650343703,6.023609221952759,619,619
49,Marrow,B cell,0.00017857369064587807,0.0013930963756434217,7.801240880472209,924,924
49,Heart,fibroblast,0.00010199777407684897,0.0004556613229525254,4.467365362397153,1026,1026
49,Marrow,neutrophil,0.00021334801296708756,0.001298399149983876,6.0858272450101305,299,300
