rep,tissue,cell_type,kn,kf,omega,n_half_a,n_half_b
5,Spleen,B cell,0.00024640173086511337,0.001701182264588313,6.9041003024430205,619,619
5,Marrow,B cell,0.0001786553712872368,0.0010379967314095924,5.810050511947565,924,924
5,Heart,fibroblast,0.0001094668392908009,0.00037537284803022786,3.4291009995551454,1026,1026
5,Marrow,neutrophil,0.0002639276381710017,0.0021642739001071047,8.200254869498917,299,300
6,Liver,hepatocyte,0.00035979512146415004,0.008268680963393192,22.981637243286198,199,200
6,Heart,endothelial cell,0.00026690410416969256,0.002009157568479538,7.52763834310376,568,569
6,Spleen,B cell,0.0002583273184767749,0.0017045014095217383,6.598223600865438,619,619
6,Marrow,B cell,0.0001699808728381039,0.0010715571150412956,6.303986425942679,924,924
6,Heart,fibroblast,0.00011031338736155598,0.0008823210699616117,7.998313632322554,1026,1026
6,Marrow,neutrophil,0.00020292925444586438,0.0013888099777221716,6.843813532526754,299,300
7,Liver,hepatocyte,0.00029419516351263493,0.004050587322064342,13.768368159765412,199,200
7,Heart,endothelial cell,0.00026824644539721675,0.002162710110907032,8.062399886434697,568,569
7,Spleen,B cell,0.0002628087622951603,0.0016814685199203058,6.398068714435974,619,619
7,Marrow,B cell,0.0001581608021621998,0.000918768837448727,5.809080536317054,924,924
7,Heart,fibroblast,0.00010357319352130378,0.0006919627775057832,6.680906072124296,1026,1026
7,Marrow,neutrophil,0.00025606781056126303,0.0010001787234490802,3.9059135205508078,299,300
8,Liver,hepatocyte,0.0004516285331637981,0.0061781092410037805,13.679625593458871,199,200
8,Heart,endothelial cell,0.0002949083953868269,0.0021620381018620074,7.331219238523524,568,569
8,Spleen,B cell,0.00024532275867371567,0.001726764625755794,7.038746160736055,619,619
8,Marrow,B cell,0.0001821054570727,0.0017288523135240786,9.493687566067212,924,924
8,Heart,fibroblast,0.0001089445351463973,0.0007282262338989853,6.684375980129803,1026,1026
8,Marrow,neutrophil,0.0002246450017754022,0.000585182040450227,2.604919031473872,299,300
9,Liver,hepatocyte,0.0002522026944582787,0.0040306589598043665,15.98182354261544,199,200
9,Heart,endothelial cell,0.00028375514339805126,0.0019934418302320254,7.0252183144945795,568,569
9,Spleen,B cell,0.00027801610989755326,0.0015596723489362148,5.610007094592259,619,619
9,Marrow,B cell,0.00017737517646269658,0.0009208590022126242,5.191588927925821,924,924
9,Heart,fibroblast,0.0001066189418517532,0.0006236510917504137,5.849346100410193,1026,1026
9,Marrow,neutrophil,0.00026482442152076104,0.0021683653606074616,8.187935795934408,299,300
10,Liver,hepatocyte,0.0003828674189288567,0.0029732137125097913,7.765648278006818,199,200
10,Heart,endothelial cell,0.00022698642545323437,0.002093892770351977,9.224748864038913,568,569
10,Spleen,B cell,0.0002741569684765124,0.0016214600628000472,5.914349256962116,619,619
10,Marrow,B cell,0.00018061556009705344,0.0011670299107155002,6.461402938309406,924,924
10,Heart,fibroblast,0.00010914387091421658,0.0008900047342644912,8.154417896392964,1026,1026
10,Marrow,neutrophil,0.0002469140892063105,0.0028409788984098136,11.505940821530103,299,300
11,Liver,hepatocyte,0.00024203818857186638,0.0016433748671512653,6.789733788902951,199,200
11,Heart,endothelial cell,0.0002789225163240524,0.0015286176515054732,5.4804383369664,568,569
11,Spleen,B cell,0.0002694241113285696,0.0017389958235452308,6.454492194369645,619,619
11,Marrow,B cell,0.00020572731150536908,0.0024232888858878353,11.779130676213557,924,924
11,Heart,fibroblast,9.525114271145698e-05,0.0008359551328532677,8.776326551646896,1026,1026
11,Marrow,neutrophil,0.000250914952349088,0.0012423451459531365,4.951259916247283,299,300
12,Liver,hepatocyte,0.0003510766380719959,0.004640984598380828,13.219292015178445,199,200
12,Heart,endothelial cell,0.00025085783848944655,0.0019872220152030305,7.921705883974727,568,569
12,Spleen,B cell,0.00022572499361645643,0.0016290779880052688,7.217091744715421,619,619
12,Marrow,B cell,0.0001502061821673062,0.0009938892339054278,6.616833072811814,924,924
12,Heart,fibroblast,0.0001177973363296191,0.0009175714425894818,7.789407393915465,1026,1026
12,Marrow,neutrophil,0.00021341005450725665,0.0005448101806494908,2.552879628410223,299,300
13,Liver,hepatocyte,0.0002809476984430568,0.004863865068998819,17.312350647302562,199,200
13,Heart,endothelial cell,0.00026449580253469046,0.0025305588193443845,9.567481960370559,568,569
13,Spleen,B cell,0.00023719847495844013,0.0016761153547305307,7.066299035119029,619,619
13,Marrow,B cell,0.0001412100710937169,0.0011029024265024998,7.810366625837449,924,924
