pair_type,cancer,sample_a,sample_b,kn,kf,omega_floor,omega_raw
TT,TCGA-BRCA,TCGA-A8-A06Z-01,TCGA-AN-A0XP-01,0.0018795741849876588,0.28268661894580066,150.39928788320572,150.39928788320572
TT,TCGA-BRCA,TCGA-A8-A09D-01,TCGA-A8-A09V-01,0.002158832301262224,0.3107837406856432,143.9591859469281,143.9591859469281
TT,TCGA-BRCA,TCGA-A2-A4S3-01,TCGA-B6-A0I8-01,0.0027163904976288747,0.3151368094144238,116.01307311651448,116.01307311651448
TT,TCGA-BRCA,TCGA-BH-A0EE-01,TCGA-D8-A1Y3-01,0.003934896990792249,0.3668565911068432,93.23156157970494,93.23156157970494
TT,TCGA-BRCA,TCGA-A2-A1G0-01,TCGA-E9-A1ND-01,0.0026950147272588533,0.27908509861615083,103.5560569644876,103.5560569644876
TT,TCGA-BRCA,TCGA-A2-A3XV-01,TCGA-B6-A0IO-01,0.00959057180567343,0.24853030935605785,25.9140241470312,25.9140241470312
TT,TCGA-BRCA,TCGA-AR-A250-01,TCGA-E9-A22H-01,0.0017067872833056372,0.30793640657017396,180.41873734480555,180.41873734480555
TT,TCGA-BRCA,TCGA-AR-A24Z-01,TCGA-AR-A256-01,0.0025955757288800077,0.41766825634988464,160.91545767771095,160.91545767771095
TT,TCGA-BRCA,TCGA-A8-A09K-01,TCGA-D8-A1XY-01,0.0019247272226330346,0.38647866987023644,200.79659357731327,200.79659357731327
TT,TCGA-BRCA,TCGA-B6-A0IO-01,TCGA-D8-A73W-01,0.002116788107582775,0.3412293915372024,161.2014874397904,161.2014874397904
TT,TCGA-BRCA,TCGA-B6-A0IQ-01,TCGA-D8-A1X6-01,0.0038254946631548553,0.45281854887070133,118.36862647646865,118.36862647646865
TT,TCGA-BRCA,TCGA-AR-A1AM-01,TCGA-BH-A0AZ-01,0.0013563043187278612,0.24844731156126248,183.17962136572152,183.17962136572152
TT,TCGA-BRCA,TCGA-A2-A3KC-01,TCGA-B6-A0WV-01,0.0013600271939389326,0.1961568493347121,144.23009349290987,144.23009349290987
TT,TCGA-BRCA,TCGA-D8-A142-01,TCGA-D8-A1JT-01,0.0049605007777277586,0.42522347817647604,85.72188519467521,85.72188519467521
TT,TCGA-BRCA,TCGA-BH-A0WA-01,TCGA-EW-A1PF-01,0.0019861299750496084,0.2818108248900961,141.88941732429026,141.88941732429026
TT,TCGA-BRCA,TCGA-BH-A1FD-01,TCGA-E9-A1NF-01,0.002079529847905404,0.29947935621425104,144.0130116506383,144.0130116506383
TT,TCGA-BRCA,TCGA-AR-A2LK-01,TCGA-BH-A18M-01,0.0009807442986213685,0.18703105234719314,190.70317575141914,190.70317575141914
TT,TCGA-BRCA,TCGA-BH-A28Q-01,TCGA-E2-A10B-01,0.0009096549014323532,0.2539894058946151,279.21512377351064,279.21512377351064
TT,TCGA-BRCA,TCGA-A7-A3J1-01,TCGA-BH-A0BA-01,0.0010941302317675225,0.22299855872635724,203.81354271338634,203.81354271338634
TT,TCGA-BRCA,TCGA-A2-A0YL-01,TCGA-E2-A572-01,0.011391616357754764,0.0777495349240765,6.825153909888218,6.825153909888218
TT,TCGA-BRCA,TCGA-B6-A0RV-01,TCGA-E9-A3Q9-01,0.0015769627518684185,0.15818142435324917,100.30764782860756,100.30764782860756
TT,TCGA-BRCA,TCGA-BH-A8G0-01,TCGA-LL-A440-01,0.0003485008266731041,0.1373230964994012,394.0395143688169,394.0395143688169
TT,TCGA-BRCA,TCGA-E2-A1IG-01,TCGA-E9-A1R7-01,0.002641042858249035,0.27622415140836937,104.58904540136889,104.58904540136889
TT,TCGA-BRCA,TCGA-A7-A6VY-01,TCGA-C8-A26V-01,0.002785879899909092,0.37193420633189284,133.50690614625194,133.50690614625194
TT,TCGA-BRCA,TCGA-B6-A0I1-01,TCGA-S3-A6ZG-01,0.005068422326507513,0.24747986443895822,48.827790680475644,48.827790680475644
TT,TCGA-BRCA,TCGA-A8-A08H-01,TCGA-D8-A1Y2-01,0.0008755713672455676,0.28154657561365404,321.55754076262514,321.55754076262514
TT,TCGA-BRCA,TCGA-E2-A15K-01,TCGA-UL-AAZ6-01,0.0034139381983786183,0.2713279429021518,79.47652451090461,79.47652451090461
TT,TCGA-BRCA,TCGA-A8-A08T-01,TCGA-B6-A0X7-01,0.0010199873780140753,0.24927071238525897,244.38607551261202,244.38607551261202
TT,TCGA-BRCA,TCGA-AR-A0TX-01,TCGA-B6-A0WS-01,0.0015808148500126174,0.3042547613282178,192.46704402213163,192.46704402213163
TT,TCGA-BRCA,TCGA-A7-A0DC-01,TCGA-AN-A0FV-01,0.003475028550379272,0.3393679698558836,97.65904508003085,97.65904508003085
TT,TCGA-BRCA,TCGA-BH-A0BF-01,TCGA-D8-A147-01,0.0019444157750821926,0.3313115834596446,170.3913266418751,170.3913266418751
TT,TCGA-BRCA,TCGA-A2-A0CY-01,TCGA-E2-A1IF-01,0.0036771673396485357,0.12049161951811473,32.76751052880594,32.76751052880594
TT,TCGA-BRCA,TCGA-BH-A0HW-01,TCGA-GM-A2DL-01,0.002448626433535498,0.3587243692284583,146.50024369397457,146.50024369397457
TT,TCGA-BRCA,TCGA-D8-A27N-01,TCGA-GM-A3NW-01,0.0023574739026705326,0.3365372667529388,142.75333710872107,142.75333710872107
TT,TCGA-BRCA,TCGA-A8-A091-01,TCGA-E9-A6HE-01,0.006374825278848108,0.35755064996117925,56.087913679382666,56.087913679382666
TT,TCGA-BRCA,TCGA-C8-A26V-01,TCGA-OL-A5RV-01,0.001709673614086635,0.2355998819952136,137.80401127678334,137.80401127678334
TT,TCGA-BRCA,TCGA-A8-A06N-01,TCGA-E2-A15G-01,0.0017533343806804217,0.24495993059669402,139.71090357655092,139.71090357655092
