pair_type,cancer,sample_a,sample_b,kn,kf,omega_floor,omega_raw
TT,TCGA-LUSC,TCGA-98-8020-01,TCGA-IG-A4P3-01,0.0028160858339287866,0.3628124807184765,128.8357323300435,128.8357323300435
TT,TCGA-LUSC,TCGA-33-AASI-01,TCGA-IG-A97H-01,0.004034561215328011,0.42743097087466936,105.94236846643534,105.94236846643534
TT,TCGA-LUSC,TCGA-22-1002-01,TCGA-56-8083-01,0.0016604120324998023,0.2923167803555857,176.05074802758062,176.05074802758062
TT,TCGA-LUSC,TCGA-77-A5G6-01,TCGA-IG-A625-01,0.0033802311115890774,0.358798724954912,106.14621104597711,106.14621104597711
TT,TCGA-LUSC,TCGA-39-5037-01,TCGA-IG-A7DP-01,0.0065698576544213965,0.44900618874986914,68.34336638141559,68.34336638141559
TT,TCGA-LUSC,TCGA-68-8250-01,TCGA-85-8666-01,0.0015165663618939627,0.31956441196423213,210.71574577530808,210.71574577530808
TT,TCGA-LUSC,TCGA-22-4595-01,TCGA-63-A5MW-01,0.002314134692162437,0.28614617900993355,123.65147974275646,123.65147974275646
TT,TCGA-LUSC,TCGA-33-4538-01,TCGA-IG-A3Y9-01,0.002159399360156108,0.3319792194300098,153.73683328590513,153.73683328590513
TT,TCGA-LUSC,TCGA-96-A4JL-01,TCGA-L5-A891-01,0.0029969332407172953,0.262624882251929,87.63120869154614,87.63120869154614
TT,TCGA-LUSC,TCGA-60-2708-01,TCGA-77-8130-01,0.001622973803868045,0.3059378258274833,188.5044756103515,188.5044756103515
TT,TCGA-LUSC,TCGA-22-5473-01,TCGA-56-7823-01,0.0018304427632544543,0.30563790621581216,166.97485021186904,166.97485021186904
TT,TCGA-LUSC,TCGA-18-3412-01,TCGA-85-A5B5-01,0.003959195390858374,0.3325625718590953,83.99751440077173,83.99751440077173
TT,TCGA-LUSC,TCGA-60-2716-01,TCGA-96-8169-01,0.0015306105808292484,0.25347466099338495,165.6036252252081,165.6036252252081
TT,TCGA-LUSC,TCGA-33-4533-01,TCGA-NK-A7XE-01,0.0034453257607346376,0.281245092467553,81.63091446179646,81.63091446179646
TT,TCGA-LUSC,TCGA-85-6798-01,TCGA-IG-A3YA-01,0.00453283560234642,0.25390495425957815,56.01459583668651,56.01459583668651
TT,TCGA-LUSC,TCGA-37-4132-01,TCGA-96-8169-01,0.0038039767451439324,0.1872671861817416,49.22931940128249,49.22931940128249
TT,TCGA-LUSC,TCGA-98-A538-01,TCGA-L5-A43H-01,0.0027962518832158638,0.32237010429893675,115.28650413574012,115.28650413574012
TT,TCGA-LUSC,TCGA-34-5928-01,TCGA-IF-A3RQ-01,0.00452697269376219,0.15369630919143445,33.95123398981748,33.95123398981748
TT,TCGA-LUSC,TCGA-22-1002-01,TCGA-L5-A4OH-01,0.002551925083907347,0.20930745199554618,82.01943439306133,82.01943439306133
TT,TCGA-LUSC,TCGA-39-5027-01,TCGA-43-2578-01,0.0023336458972032007,0.36692676318675965,157.23326474959612,157.23326474959612
TT,TCGA-LUSC,TCGA-22-4605-01,TCGA-77-7139-01,0.0018294814934616474,0.12769913939786648,69.80072761285001,69.80072761285001
TT,TCGA-LUSC,TCGA-63-A5MN-01,TCGA-90-7769-01,0.002470172780283812,0.4227402675531082,171.13793453125865,171.13793453125865
TT,TCGA-LUSC,TCGA-90-7769-01,TCGA-L5-A8NL-01,0.003531443877873322,0.4662716213600345,132.03427195360922,132.03427195360922
