pair_type,cancer,sample_a,sample_b,kn,kf,omega_floor,omega_raw
TT,TCGA-LUAD,TCGA-05-4426-01,TCGA-86-A4P8-01,0.0018974480375029618,0.3192201859431912,168.23658916282332,168.23658916282332
TT,TCGA-LUAD,TCGA-05-4432-01,TCGA-55-A48X-01,0.001519909957096454,0.20008247680674196,131.64100667447937,131.64100667447937
TT,TCGA-LUAD,TCGA-55-8094-01,TCGA-73-7498-01,0.0031408200237983005,0.2214003253812381,70.49124868781598,70.49124868781598
TT,TCGA-LUAD,TCGA-49-AAR4-01,TCGA-55-1592-01,0.0021995223686253383,0.2879351005657306,130.90801197247418,130.90801197247418
TT,TCGA-LUAD,TCGA-MT-A67A-01,TCGA-TQ-A8XE-01,0.006623207509510563,0.48898008029923906,73.82828932916422,73.82828932916422
TT,TCGA-LUAD,TCGA-55-7727-01,TCGA-TQ-A7RU-01,0.005648668691209587,0.31028468475565885,54.93058660680904,54.93058660680904
TT,TCGA-LUAD,TCGA-05-5428-01,TCGA-49-AARN-01,0.00842355357235779,0.19125895108003751,22.705257280924883,22.705257280924883
TT,TCGA-LUAD,TCGA-55-5899-01,TCGA-55-8619-01,0.002094830798948031,0.36065835268064983,172.16586316267782,172.16586316267782
TT,TCGA-LUAD,TCGA-78-7220-01,TCGA-TQ-A7RV-01,0.0038222022623536876,0.36685162889386647,95.97912504712966,95.97912504712966
TT,TCGA-LUAD,TCGA-05-5425-01,TCGA-44-6146-01,0.0039639994414524616,0.2395016208828074,60.419186334458935,60.419186334458935
TT,TCGA-LUAD,TCGA-05-4434-01,TCGA-38-A44F-01,0.001532538322214857,0.2209165794417821,144.1507701566045,144.1507701566045
TT,TCGA-LUAD,TCGA-44-2656-01,TCGA-75-7031-01,0.0032655208978206503,0.2718501938270709,83.24864618336964,83.24864618336964
TT,TCGA-LUAD,TCGA-05-5715-01,TCGA-78-7535-01,0.003932034755601448,0.27856932985966465,70.84610060041405,70.84610060041405
TT,TCGA-LUAD,TCGA-55-A4DF-01,TCGA-86-8668-01,0.0027170933533157996,0.3349815252108207,123.28671917070005,123.28671917070005
TT,TCGA-LUAD,TCGA-05-5429-01,TCGA-78-7542-01,0.003503795790983942,0.370892351500251,105.85444290293424,105.85444290293424
TT,TCGA-LUAD,TCGA-05-4417-01,TCGA-44-6778-01,0.001349136036665644,0.2896911151182496,214.72342836102277,214.72342836102277
TT,TCGA-LUAD,TCGA-64-1678-01,TCGA-97-7554-01,0.011674534398451675,0.2657293998549688,22.761455899278598,22.761455899278598
TT,TCGA-LUAD,TCGA-73-7498-01,TCGA-MP-A5C7-01,0.0008854666161274873,0.2467452710157627,278.66129170954196,278.66129170954196
TT,TCGA-LUAD,TCGA-55-7727-01,TCGA-73-4675-01,0.004520523500809403,0.36652868309494635,81.08102590979101,81.08102590979101
TT,TCGA-LUAD,TCGA-55-1594-01,TCGA-TQ-A7RS-01,0.004087155884826039,0.31014506921816554,75.88285789871853,75.88285789871853
TT,TCGA-LUAD,TCGA-49-4501-01,TCGA-75-5146-01,0.0015951477814057974,0.2410553025784372,151.11784963647452,151.11784963647452
TT,TCGA-LUAD,TCGA-50-5935-01,TCGA-55-7913-01,0.001809061444884352,0.2858325110251633,158.00044372922653,158.00044372922653
TT,TCGA-LUAD,TCGA-50-5072-01,TCGA-TQ-A7RN-01,0.003929366166431898,0.16421850482602934,41.792619437946065,41.792619437946065
TT,TCGA-LUAD,TCGA-50-6592-01,TCGA-91-6847-01,0.002368272328706199,0.2630356569171247,111.06647395606849,111.06647395606849
TT,TCGA-LUAD,TCGA-49-AARN-01,TCGA-55-8619-01,0.0009732817892598213,0.24203343174276634,248.6776537007152,248.6776537007152
TT,TCGA-LUAD,TCGA-64-1680-01,TCGA-97-8174-01,0.003042434406630097,0.2625728839004459,86.30354801676087,86.30354801676087
TT,TCGA-LUAD,TCGA-44-A47B-01,TCGA-50-5068-01,0.009538729306130481,0.24382461866276744,25.56154083396233,25.56154083396233
TT,TCGA-LUAD,TCGA-44-3917-01,TCGA-55-7910-01,0.00918040247804857,0.09313271464856344,10.144731112960983,10.144731112960983
TT,TCGA-LUAD,TCGA-55-6986-01,TCGA-73-A9RS-01,0.0021126338518895594,0.3484259123211215,164.92489316569748,164.92489316569748
TT,TCGA-LUAD,TCGA-44-A47A-01,TCGA-86-8359-01,0.0017884293914757555,0.3425752172507141,191.55087636310418,191.55087636310418
