series,rep,omega,k_f,k_n,k_total,cosine,eta
baseline,106,12.438761698733828,0.02766616026641941,0.002224189267106517,0.002387526327793001,0.011980394287205098,
baseline,107,25.322564343335188,0.06858598887329805,0.002708493023983554,0.003916502731592472,0.015573994640261657,
baseline,108,19.806049899028828,0.04491856349314949,0.002267921353432116,0.003309877759442528,0.012382995360332494,
baseline,109,7.399830236204375,0.01909503426999968,0.0025804692351691265,0.0030489320159218236,0.012815353998743673,
baseline,110,8.762299579902772,0.020111781374067092,0.002295262926206668,0.00232152427166386,0.011112375123293439,
baseline,111,7.470629951831418,0.02021447932216061,0.002705860075053651,0.003159678810502147,0.012941569014348508,
baseline,112,6.837704381181542,0.019334893245818482,0.0028276877981199666,0.002540695698782089,0.011733085178786573,
baseline,113,11.507365063853063,0.028015453867388962,0.0024345672281998864,0.0033239323100256206,0.012863291909431362,
baseline,114,7.9169223978959895,0.02044083425977302,0.002581916713646884,0.002262645009790316,0.01203312707334181,
baseline,115,17.23664124996111,0.041175972065001815,0.002388862857205125,0.0031898842955188234,0.013449359666152017,
baseline,116,8.202787114632162,0.023405435469546668,0.0028533515672735143,0.002612838265730341,0.012490884791450774,
baseline,117,8.793122996581099,0.02137701233689132,0.0024311058022505804,0.002111834208109235,0.011091326910361743,
baseline,118,9.73054548951216,0.02293587749337587,0.0023571008961518927,0.0022117878185823766,0.011317906625571306,
baseline,119,8.864766757865219,0.025348634139612553,0.002859481228552585,0.002837272682960277,0.013589203898692115,
baseline,120,8.398716965541574,0.02046998684770777,0.002437275470966869,0.002296947893409878,0.011772269575473837,
baseline,121,24.02250831918982,0.048743183102752906,0.002029063012700283,0.0029577007123882766,0.012882737129401911,
baseline,122,11.58446629311984,0.029414069410775005,0.0025390957741613343,0.002656186625969723,0.013013386474002964,
baseline,123,9.40376513474198,0.020473815491845154,0.002177193411201344,0.0022150731380141658,0.011065659124894989,
baseline,124,14.103014853814681,0.029185728276812928,0.0020694673145663298,0.00243386144592488,0.010916793969558025,
baseline,125,8.827691866862056,0.02133058707960626,0.0024163266458901173,0.0023589060251020273,0.011697416173875652,
