cancer,pair_type,sample_a,sample_b,kn,kf,omega,d_immune,d_stromal,d_epithelial,d_overall
TCGA-LUAD,TT,TCGA-44-4112-01,TCGA-91-A4BD-01,0.007601649440426427,0.5591025813314606,73.55016640968606,0.0949592,0.843292,0.20037392,0.37954172
TCGA-LUAD,TT,TCGA-55-7911-01,TCGA-NJ-A7XG-01,0.003229878093034093,0.5457689869445862,168.97510408261263,2.4128458,1.2079735,0.0004955828,1.207105
TCGA-LUAD,TT,TCGA-38-6178-01,TCGA-55-A4DF-01,0.0038474754320093722,0.46256418950675515,120.22537835028555,0.80065966,0.6763128,0.1888597,0.5552774
TCGA-LUAD,TT,TCGA-NJ-A55A-01,TCGA-TQ-A7RM-01,0.004490451522004464,0.1729619309035363,38.517714767874594,3.6830645,2.2041492,5.6947265,3.8606465
TCGA-LUAD,TT,TCGA-44-A4SS-01,TCGA-N6-A4VF-01,0.004070493892653321,0.5973615598637761,146.75407349018045,0.19850016,0.1964162,0.5117152,0.3022105
TCGA-LUAD,TT,TCGA-75-5122-01,TCGA-97-A4M2-01,0.0037712485263706593,0.33418585169444437,88.61411528771751,0.2973807,0.18989658,0.015608874,0.1676287
TCGA-LUAD,TT,TCGA-91-7771-01,TCGA-TQ-A7RN-01,0.006495991967069426,0.37100340321740444,57.112663485139336,3.7592666,3.297605,5.875694,4.3108554
TCGA-LUAD,TT,TCGA-44-2661-01,TCGA-97-7937-01,0.006346096115442033,0.477624692946296,75.26275749024444,2.1272256,0.046805143,0.3630265,0.8456858
TCGA-LUAD,TT,TCGA-44-2657-01,TCGA-KN-8426-01,0.008294641125209518,0.33270293101549797,40.11058778713517,3.1781702,4.4147606,0.45208243,2.6816711
TCGA-LUAD,TT,TCGA-73-4668-01,TCGA-73-A9RS-01,0.003992893166053037,0.5710260724055053,143.01060625921102,0.3780247,1.0366576,0.45885813,0.62451345
TCGA-LUAD,TT,TCGA-93-A4JP-01,TCGA-J2-8194-01,0.002631091325200425,0.5463436875250204,207.6490778910543,0.2523632,0.43989348,0.062749535,0.25166872
TCGA-LUAD,TT,TCGA-38-4627-01,TCGA-97-7941-01,0.0037738314215910477,0.4525625566654019,119.9212434546431,0.4443048,1.1963983,0.42332512,0.68800944
TCGA-LUAD,TT,TCGA-05-4250-01,TCGA-05-4410-01,0.004070724821912855,0.4971251668291378,122.12202705353492,0.5825738,0.58433974,0.5251278,0.5640138
TCGA-LUAD,TT,TCGA-05-4426-01,TCGA-86-A4P8-01,0.0037564550643936784,0.5337944547622386,142.10058302624665,1.6583498,0.055399634,0.37171343,0.69515425
TCGA-LUAD,TT,TCGA-05-4432-01,TCGA-55-A48X-01,0.0030295488120663386,0.37810723788858513,124.80645183290271,0.37125212,0.08366102,0.039799616,0.16490425
TCGA-LUAD,TT,TCGA-55-8094-01,TCGA-73-7498-01,0.006088610238333462,0.4142445752177505,68.03598177621812,1.9248854,1.9142513,0.2863509,1.3751625
TCGA-LUAD,TT,TCGA-49-AAR4-01,TCGA-55-1592-01,0.004345744192587977,0.48943343603651934,112.62361849813621,1.6184304,0.31740803,0.14780015,0.6945462
TCGA-LUAD,TT,TCGA-MT-A67A-01,TCGA-TQ-A8XE-01,0.012573668259599522,0.7224522933282036,57.45755959297228,2.5875354,2.9272037,4.356617,3.290452
TCGA-LUAD,TT,TCGA-55-7727-01,TCGA-TQ-A7RU-01,0.010927775135724292,0.5378418767885774,49.2178755609917,3.3469534,2.2284868,5.5607796,3.7120733
TCGA-LUAD,TT,TCGA-05-5428-01,TCGA-49-AARN-01,0.015663067779386367,0.3660921182187705,23.372951159706528,1.9177843,0.47303355,0.3564128,0.9157436
TCGA-LUAD,TT,TCGA-55-5899-01,TCGA-55-8619-01,0.004176283454548435,0.5831421411814621,139.6318395357853,0.8464092,0.5175581,0.096285656,0.486751
TCGA-LUAD,TT,TCGA-78-7220-01,TCGA-TQ-A7RV-01,0.007585249909380341,0.5990498663939845,78.97562684825535,2.6137905,2.7951539,6.005216,3.80472
TCGA-LUAD,TT,TCGA-05-5425-01,TCGA-44-6146-01,0.007850047011014837,0.4272148524499687,54.42194828266886,2.4283361,0.7849244,0.05820501,1.0904886
TCGA-LUAD,TT,TCGA-05-4434-01,TCGA-38-A44F-01,0.002974222534696807,0.3984324054008363,133.9618675982672,0.016028404,0.19301125,0.06100735,0.09001567
TCGA-LUAD,TT,TCGA-44-2656-01,TCGA-75-7031-01,0.006410925021850243,0.46562782371596134,72.63036490505976,0.45114237,0.43537325,0.40246177,0.42965913
TCGA-LUAD,TT,TCGA-05-5715-01,TCGA-78-7535-01,0.007655829122201581,0.48385941219861567,63.201438338722035,0.6161498,0.75061166,0.22276345,0.5298416
TCGA-LUAD,TT,TCGA-55-A4DF-01,TCGA-86-8668-01,0.005459893784035137,0.552710593073586,101.2310156453456,0.54105985,0.52990454,0.13960418,0.40352285
TCGA-LUAD,TT,TCGA-05-5429-01,TCGA-78-7542-01,0.006882311543161974,0.5939831011037913,86.30575604993533,1.3242943,1.0274782,0.06903833,0.806937
TCGA-LUAD,TT,TCGA-05-4417-01,TCGA-44-6778-01,0.0026101825922986988,0.4901466549557466,187.78251621243524,0.4040041,0.97633994,0.4258508,0.6020649
TCGA-LUAD,TT,TCGA-64-1678-01,TCGA-97-7554-01,0.021653583506788095,0.4803631221538833,22.184001184067117,1.2522168,1.5943122,0.27596614,1.0408317
TCGA-LUAD,TT,TCGA-73-7498-01,TCGA-MP-A5C7-01,0.0017693481480305058,0.4384634184788683,247.81070868778994,1.362618,0.8474453,0.13238028,0.78081447
TCGA-LUAD,TT,TCGA-55-7727-01,TCGA-73-4675-01,0.008736043099027063,0.589600828527215,67.49060436673888,1.1696653,0.56378144,0.18343821,0.6389617
