scenario,n_genes_shifted,fold,rep,seed,cell_type,is_target,cki_omega,cki_k_n,cki_k_f,meld_auc_within_type,scdist_approx_dist
effect,100,8.0,0,100042,CD4 T cells,False,22.89384168893003,0.006078993010621769,0.13917150361328692,0.5826,5.7029633576908845
effect,100,8.0,0,100042,CD8 T cells,False,5.99361227682247,0.00778566564772708,0.046664261209451996,0.5138,5.541989907470493
effect,100,8.0,0,100042,FCGR3A+ Monocytes,False,8.733159945096293,0.002818122638876006,0.024611115750201,0.4868,5.303722754516456
effect,100,8.0,0,100042,NK cells,False,31.98649328714005,0.007694230453916007,0.2461114507638929,0.5832,6.341319403188771
effect,100,8.0,1,100043,B cells,False,57.947684578597666,0.005973720416425682,0.34616326645176454,0.5555,3.0699317843139458
effect,100,8.0,1,100043,CD14+ Monocytes,True,29.452779447177193,0.00478291651630025,0.14087018526885234,1.0,112.2549957821782
effect,100,8.0,1,100043,CD4 T cells,False,7.026027585871313,0.006190261010990722,0.04349294462696446,0.5706,3.833837652959145
effect,100,8.0,1,100043,CD8 T cells,False,6.349730759873464,0.008017637260013668,0.05090983793141638,0.5778,5.3475483625945746
effect,100,8.0,1,100043,FCGR3A+ Monocytes,False,8.82768272410722,0.0028381391231274344,0.02505419170584487,0.4051,9.33923324463254
effect,100,8.0,1,100043,NK cells,False,27.031981523610057,0.008716200647903441,0.23561617487020384,0.5592,3.168372029527009
effect,100,8.0,2,100044,B cells,False,12.169637333902477,0.005231791347224229,0.06366900330236791,0.5338,6.624446902006148
effect,100,8.0,2,100044,CD14+ Monocytes,True,37.41302542599427,0.004581040810622114,0.17139059632532255,1.0,111.46686684934764
effect,100,8.0,2,100044,CD4 T cells,False,6.632468587367255,0.0061496888902347,0.040787618386563036,0.5524,4.680452951460811
effect,100,8.0,2,100044,CD8 T cells,False,5.379487613722981,0.007513911879743724,0.04042099588768732,0.5997,3.503597892177955
effect,100,8.0,2,100044,FCGR3A+ Monocytes,False,25.671604809704206,0.0028587969879948875,0.07338990650697745,0.4608,7.5172199150136345
effect,100,8.0,2,100044,NK cells,False,28.780455912348483,0.008187619734561289,0.23564342879761555,0.5639,4.362437476714507
effect,100,8.0,3,100045,B cells,False,6.758635324660872,0.005720552697423106,0.03866312953738784,0.5601,5.578912697899042
effect,100,8.0,3,100045,CD14+ Monocytes,True,44.06317202106304,0.0041373808086870075,0.18230612228982052,1.0,103.79651819858177
effect,100,8.0,3,100045,CD4 T cells,False,6.837104885433074,0.006295422015870364,0.0430424606205702,0.5431,4.650142644094347
effect,100,8.0,3,100045,CD8 T cells,False,7.384284334709437,0.006900997192124438,0.0509589254596783,0.5791,5.7990558339510425
effect,100,8.0,3,100045,FCGR3A+ Monocytes,False,24.303230787960857,0.0028719769764766682,0.0697983192770225,0.4834,9.386000984945476
effect,100,8.0,3,100045,NK cells,False,6.428661160064547,0.007998171602098631,0.05141753512994271,0.5434,3.597140864007245
effect,100,8.0,4,100046,B cells,False,7.098692333953992,0.00627110370966317,0.04451663582921639,0.5324,7.685513092874907
effect,100,8.0,4,100046,CD14+ Monocytes,True,28.95848448270449,0.005328040678131482,0.15429198330088884,1.0,100.36347678338751
effect,100,8.0,4,100046,CD4 T cells,False,33.4672564735924,0.006577678242955095,0.2201368447577468,0.5921,6.479625697509955
effect,100,8.0,4,100046,CD8 T cells,False,35.0204810256429,0.00734881494465924,0.2573590343303999,0.5403,4.2769553209424025
effect,100,8.0,4,100046,FCGR3A+ Monocytes,False,9.020146198597024,0.003057312683959664,0.027577407384141227,0.511,8.285511376545418
effect,100,8.0,4,100046,NK cells,False,5.989687688512395,0.008751409054014688,0.05241820706796768,0.6241,7.461739396178355
effect,100,8.0,5,100047,B cells,False,8.15823606048274,0.006092639915283208,0.04970519466039997,0.5547,6.318465772451803
effect,100,8.0,5,100047,CD14+ Monocytes,True,38.437262561932286,0.004438310576536415,0.17059650896173123,1.0,118.20963677000255
effect,100,8.0,5,100047,CD4 T cells,False,6.9825490784304725,0.005865921351336386,0.04095908372591951,0.5495,4.506150736201945
effect,100,8.0,5,100047,CD8 T cells,False,38.423680789989774,0.0067299273519319525,0.2585885803104545,0.5213,7.235768529399328
effect,100,8.0,5,100047,FCGR3A+ Monocytes,False,92.80108909164719,0.002829766026730267,0.26260536915511196,0.4702,6.019790188060425
effect,100,8.0,5,100047,NK cells,False,5.837920968557064,0.008872777107346078,0.051798571524308765,0.4832,3.782257122418006
effect,100,8.0,6,100048,B cells,False,6.7296818170070924,0.005731336808340889,0.03857007310623514,0.5833,3.026901119352416
effect,100,8.0,6,100048,CD14+ Monocytes,True,43.191635977703456,0.004159214278444989,0.1796432690678625,1.0,109.8060047870955
effect,100,8.0,6,100048,CD4 T cells,False,31.17432535358878,0.006513843613927302,0.20306468012296627,0.5442,7.245947542925698
effect,100,8.0,6,100048,CD8 T cells,False,7.005813634448606,0.007273521594092287,0.050956936754348106,0.6026,3.375313458547826
effect,100,8.0,6,100048,FCGR3A+ Monocytes,False,7.436519277523127,0.003027404520025422,0.0225133520740297,0.5516,4.770117801952167
effect,100,8.0,6,100048,NK cells,False,7.777161342365043,0.007427301400013445,0.05776332132627833,0.6186,6.6959361339013
effect,100,8.0,7,100049,B cells,False,7.065234669346617,0.005710907140805259,0.040348899124636475,0.5768,2.6192738458552203
effect,100,8.0,7,100049,CD14+ Monocytes,True,11.695376476452171,0.014249305365261387,0.16665099077466175,1.0,98.4079445091539
effect,100,8.0,7,100049,CD4 T cells,False,41.399634974800755,0.006400626227833344,0.26498358944243633,0.6069,8.422324919243955
effect,100,8.0,7,100049,CD8 T cells,False,32.019565253296776,0.007671079862310976,0.24562464221451716,0.5068,5.488908838006207
effect,100,8.0,7,100049,FCGR3A+ Monocytes,False,8.443073957356148,0.003030437703011225,0.02558620964968426,0.4531,10.058304725544929
effect,100,8.0,7,100049,NK cells,False,25.753908203439703,0.00897441150644036,0.23112617011675804,0.5972,5.639633650393994
effect,100,8.0,8,100050,B cells,False,33.89408677273543,0.005636029326831082,0.19102806705729433,0.5388,4.380149884310293
effect,100,8.0,8,100050,CD14+ Monocytes,True,21.5494649329598,0.008120354571380554,0.17498929607916505,1.0,85.87822883120778
effect,100,8.0,8,100050,CD4 T cells,False,7.130477536889685,0.005521006527010784,0.03936741302187173,0.5805,6.431783579121345
