design,cell_type,n_per_condition,rep,donor,omega,perm_P,detected
C1_donor_paired,CD4 T cells,200,14,1256,29.63792818040413,0.1782178217821782,False
C1_donor_paired,CD4 T cells,200,14,1488,18.02838626457954,0.009900990099009901,True
C1_donor_paired,CD4 T cells,200,15,101,26.0380426168054,0.16831683168316833,False
C1_donor_paired,CD4 T cells,200,15,1015,38.52754282737244,0.504950495049505,False
C1_donor_paired,CD4 T cells,200,15,1016,23.387551320974488,0.504950495049505,False
C1_donor_paired,CD4 T cells,200,15,1244,18.738130563550325,0.009900990099009901,True
C1_donor_paired,CD4 T cells,200,15,1256,31.62064922805312,0.8811881188118812,False
C1_donor_paired,CD4 T cells,200,15,1488,31.966700424293652,0.9801980198019802,False
C1_donor_paired,CD4 T cells,200,16,101,21.164075510077932,0.009900990099009901,True
C1_donor_paired,CD4 T cells,200,16,1015,26.040887069485354,0.009900990099009901,True
C1_donor_paired,CD4 T cells,200,16,1016,18.35713549328754,0.5544554455445545,False
C1_donor_paired,CD4 T cells,200,16,1244,22.440125446267473,0.009900990099009901,True
C1_donor_paired,CD4 T cells,200,16,1256,29.855287296476817,0.009900990099009901,True
C1_donor_paired,CD4 T cells,200,16,1488,33.01262432413564,0.9405940594059405,False
C1_donor_paired,CD4 T cells,200,17,101,28.156866568596357,0.06930693069306931,False
C1_donor_paired,CD4 T cells,200,17,1015,56.40918577205464,0.5148514851485149,False
C1_donor_paired,CD4 T cells,200,17,1016,24.281637266441702,0.27722772277227725,False
C1_donor_paired,CD4 T cells,200,17,1244,25.9762052118195,0.9702970297029703,False
C1_donor_paired,CD4 T cells,200,17,1256,29.492977535332674,0.009900990099009901,True
C1_donor_paired,CD4 T cells,200,17,1488,18.834773943630772,0.009900990099009901,True
C1_donor_paired,CD4 T cells,200,18,101,19.262924364351527,0.009900990099009901,True
C1_donor_paired,CD4 T cells,200,18,1015,43.48077168333116,0.37623762376237624,False
C1_donor_paired,CD4 T cells,200,18,1016,16.570049278417986,0.4752475247524752,False
C1_donor_paired,CD4 T cells,200,18,1244,23.361228803038394,0.009900990099009901,True
C1_donor_paired,CD4 T cells,200,18,1256,31.4336297346834,0.24752475247524752,False
C1_donor_paired,CD4 T cells,200,18,1488,23.993475094891565,0.009900990099009901,True
C1_donor_paired,CD4 T cells,200,19,101,37.559155277306495,0.009900990099009901,True
C1_donor_paired,CD4 T cells,200,19,1015,28.524022945947863,0.009900990099009901,True
C1_donor_paired,CD4 T cells,200,19,1016,27.25957296043312,0.42574257425742573,False
C1_donor_paired,CD4 T cells,200,19,1244,29.2086328317926,0.009900990099009901,True
C1_donor_paired,CD4 T cells,200,19,1256,28.398972652047377,0.009900990099009901,True
C1_donor_paired,CD4 T cells,200,19,1488,38.90636932116103,0.5247524752475248,False
C1_donor_paired,CD4 T cells,500,0,1015,35.238482703545806,0.9306930693069307,False
C1_donor_paired,CD4 T cells,500,0,1244,34.506001978125504,0.4752475247524752,False
C1_donor_paired,CD4 T cells,500,0,1256,28.475421610666608,0.5346534653465347,False
C1_donor_paired,CD4 T cells,500,0,1488,28.372354512592093,0.38613861386138615,False
C1_donor_paired,CD4 T cells,500,1,1015,29.472599809505542,0.009900990099009901,True
C1_donor_paired,CD4 T cells,500,1,1244,31.00904079677178,0.504950495049505,False
C1_donor_paired,CD4 T cells,500,1,1256,31.052882499928824,0.5148514851485149,False
C1_donor_paired,CD4 T cells,500,1,1488,28.698018000332137,0.4158415841584158,False
C1_donor_paired,CD4 T cells,500,2,1015,49.579458090168096,0.6039603960396039,False
C1_donor_paired,CD4 T cells,500,2,1244,28.098635115338073,0.5346534653465347,False
C1_donor_paired,CD4 T cells,500,2,1256,32.29105831678495,0.5148514851485149,False
C1_donor_paired,CD4 T cells,500,2,1488,31.31004726058185,0.009900990099009901,True
C1_donor_paired,CD4 T cells,500,3,1015,37.66049858509555,0.7920792079207921,False
C1_donor_paired,CD4 T cells,500,3,1244,30.17985988116019,0.25742574257425743,False
C1_donor_paired,CD4 T cells,500,3,1256,32.986502659077196,0.5148514851485149,False
C1_donor_paired,CD4 T cells,500,3,1488,31.981819095957942,0.42574257425742573,False
C1_donor_paired,CD4 T cells,500,4,1015,30.422919770568658,0.009900990099009901,True
C1_donor_paired,CD4 T cells,500,4,1244,27.52986148360728,0.25742574257425743,False
C1_donor_paired,CD4 T cells,500,4,1256,30.900363047798884,0.25742574257425743,False
C1_donor_paired,CD4 T cells,500,4,1488,35.581760932719625,0.45544554455445546,False
C1_donor_paired,CD4 T cells,500,5,1015,39.33815141878752,0.5247524752475248,False
C1_donor_paired,CD4 T cells,500,5,1244,33.3852418864927,0.2376237623762376,False
C1_donor_paired,CD4 T cells,500,5,1256,32.283102931147866,0.27722772277227725,False
C1_donor_paired,CD4 T cells,500,5,1488,37.27964852342996,0.2079207920792079,False
C1_donor_paired,CD4 T cells,500,6,1015,51.211158297284555,0.4158415841584158,False
C1_donor_paired,CD4 T cells,500,6,1244,34.02061392018769,0.5148514851485149,False
C1_donor_paired,CD4 T cells,500,6,1256,31.525162486109824,0.4158415841584158,False
C1_donor_paired,CD4 T cells,500,6,1488,32.55168391374302,0.5247524752475248,False
C1_donor_paired,CD4 T cells,500,7,1015,39.13439381988159,0.48514851485148514,False
C1_donor_paired,CD4 T cells,500,7,1244,39.01938375262637,0.27722772277227725,False
C1_donor_paired,CD4 T cells,500,7,1256,31.92931044888245,0.42574257425742573,False
C1_donor_paired,CD4 T cells,500,7,1488,30.249818008157394,0.5247524752475248,False
C1_donor_paired,CD4 T cells,500,8,1015,37.54937053033522,0.5544554455445545,False
C1_donor_paired,CD4 T cells,500,8,1244,30.17397003089095,0.40594059405940597,False
C1_donor_paired,CD4 T cells,500,8,1256,28.837540548436166,0.25742574257425743,False
C1_donor_paired,CD4 T cells,500,8,1488,34.10429269390798,0.9306930693069307,False
C1_donor_paired,CD4 T cells,500,9,1015,41.339770542219156,0.45544554455445546,False
C1_donor_paired,CD4 T cells,500,9,1244,29.811709663690753,0.3564356435643564,False
C1_donor_paired,CD4 T cells,500,9,1256,41.04891153522879,0.5247524752475248,False
C1_donor_paired,CD4 T cells,500,9,1488,36.810213959549245,0.5346534653465347,False
C1_donor_paired,CD4 T cells,500,10,1015,34.585362099629535,0.5346534653465347,False
C1_donor_paired,CD4 T cells,500,10,1244,34.15991045542452,0.44554455445544555,False
C1_donor_paired,CD4 T cells,500,10,1256,32.55512072724624,0.39603960396039606,False
C1_donor_paired,CD4 T cells,500,10,1488,30.35767811079843,0.009900990099009901,True
C1_donor_paired,CD4 T cells,500,11,1015,32.743385791486645,0.5148514851485149,False
C1_donor_paired,CD4 T cells,500,11,1244,32.72985656136186,0.5544554455445545,False
C1_donor_paired,CD4 T cells,500,11,1256,30.1210866372236,0.24752475247524752,False
C1_donor_paired,CD4 T cells,500,11,1488,35.01688072952965,0.33663366336633666,False
C1_donor_paired,CD4 T cells,500,12,1015,41.43154385566776,0.009900990099009901,True
C1_donor_paired,CD4 T cells,500,12,1244,35.080167008578535,0.8118811881188119,False
C1_donor_paired,CD4 T cells,500,12,1256,28.551354721710315,0.297029702970297,False
C1_donor_paired,CD4 T cells,500,12,1488,32.91502536240831,0.009900990099009901,True
C1_donor_paired,CD4 T cells,500,13,1015,42.04097996567346,0.46534653465346537,False
C1_donor_paired,CD4 T cells,500,13,1244,30.989062882852487,0.2079207920792079,False
C1_donor_paired,CD4 T cells,500,13,1256,48.71967915686125,0.31683168316831684,False
C1_donor_paired,CD4 T cells,500,13,1488,33.51561384841317,0.5445544554455446,False
C1_donor_paired,CD4 T cells,500,14,1015,40.91402805582112,0.43564356435643564,False
C1_donor_paired,CD4 T cells,500,14,1244,35.00837579317163,0.19801980198019803,False
C1_donor_paired,CD4 T cells,500,14,1256,29.641947100378058,0.26732673267326734,False
C1_donor_paired,CD4 T cells,500,14,1488,32.223402110988694,0.009900990099009901,True
C1_donor_paired,CD4 T cells,500,15,1015,37.46530723107853,0.5148514851485149,False
C1_donor_paired,CD4 T cells,500,15,1244,29.008346561096946,0.24752475247524752,False
C1_donor_paired,CD4 T cells,500,15,1256,29.141820802226185,0.297029702970297,False
C1_donor_paired,CD4 T cells,500,15,1488,35.25244293808506,0.5148514851485149,False
C1_donor_paired,CD4 T cells,500,16,1015,38.270388582935595,0.8118811881188119,False
C1_donor_paired,CD4 T cells,500,16,1244,34.459366931952744,0.40594059405940597,False
C1_donor_paired,CD4 T cells,500,16,1256,41.86636547569626,0.12871287128712872,False
