cell_type,pseudo_a,pseudo_b,pair_idx,omega,same_origin,p_low,p_high
Oligodendrocyte,Human GPe::A,Human MoSR::B,15897,51.772899454584255,False,0.8791208791208791,0.12187812187812187
Oligodendrocyte,Human GPe::A,Human NAC::A,15898,30.590930230049143,False,0.38961038961038963,0.6113886113886113
Oligodendrocyte,Human GPe::A,Human NAC::B,15899,26.067782602504927,False,0.2987012987012987,0.7022977022977023
Oligodendrocyte,Human GPe::A,Human PAG::A,15900,52.369594144140656,False,0.8571428571428571,0.14385614385614387
Oligodendrocyte,Human GPe::A,Human PAG::B,15901,47.82747494010639,False,0.8071928071928072,0.1938061938061938
Oligodendrocyte,Human GPe::A,Human PAG-DR::A,15902,27.794127716027162,False,0.36663336663336665,0.6343656343656343
Oligodendrocyte,Human GPe::A,Human PAG-DR::B,15903,24.472486516859416,False,0.37962037962037964,0.6213786213786214
Oligodendrocyte,Human GPe::A,Human PB::A,15904,54.596812406473695,False,0.8781218781218781,0.12287712287712288
Oligodendrocyte,Human GPe::A,Human PB::B,15905,55.99566678258913,False,0.8901098901098901,0.1108891108891109
Oligodendrocyte,Human GPe::A,Human PN::A,15906,36.52417024597168,False,0.5454545454545454,0.45554445554445555
Oligodendrocyte,Human GPe::A,Human PN::B,15907,35.67160171906473,False,0.5404595404595405,0.46053946053946054
Oligodendrocyte,Human GPe::A,Human PTR::A,15908,32.60933361305726,False,0.5214785214785215,0.47952047952047955
Oligodendrocyte,Human GPe::A,Human PTR::B,15909,19.851433578204286,False,0.15884115884115885,0.8421578421578422
Oligodendrocyte,Human GPe::A,Human Pir::A,15910,16.912889802034638,False,0.07992007992007992,0.9210789210789211
Oligodendrocyte,Human GPe::A,Human Pir::B,15911,16.726012724252666,False,0.06693306693306693,0.9340659340659341
Oligodendrocyte,Human GPe::A,Human PnAN::A,15912,64.78719767310972,False,0.9600399600399601,0.04095904095904096
Oligodendrocyte,Human GPe::A,Human PnAN::B,15913,77.8626417257717,False,0.9760239760239761,0.024975024975024976
Oligodendrocyte,Human GPe::A,Human PnEN::A,15914,64.51840002316555,False,0.951048951048951,0.04995004995004995
Oligodendrocyte,Human GPe::A,Human PnEN::B,15915,65.32773246466232,False,0.9400599400599401,0.060939060939060936
Oligodendrocyte,Human GPe::A,Human PnRF::A,15916,44.23028585421515,False,0.7092907092907093,0.2917082917082917
Oligodendrocyte,Human GPe::A,Human PnRF::B,15917,49.184303636303554,False,0.7842157842157842,0.21678321678321677
